Business,Country,Locations,Property/Facility type,Number of Properties Owned,Number of Properties Leased
Insurance: GEICO,U.S.,Offices and claims centers,10,113,
Insurance: BHRG,U.S.,Offices,1,27,
Insurance: BHRG,Non-U.S.,Locations in 23 countries,Offices,1,"37,"
Insurance: BH Primary,U.S.,Offices,5,48,
Insurance: BH Primary,Non-U.S.,Locations in 7 countries,Offices,--,"15,"
Manufacturing,U.S.,Manufacturing facility,484,113,
Manufacturing,U.S.,Offices/Warehouses,214,476,
Manufacturing,U.S.,Retail/Showroom,231,195,
Manufacturing,U.S.,Housing subdivisions,319,--,
Manufacturing,Non-U.S.,Locations in 63 countries,Manufacturing facility,179,"111,"
Manufacturing,Non-U.S.,Offices/Warehouses,106,437,
Manufacturing,Non-U.S.,Retail/Showroom,--,4,
Service,U.S.,Training facilities/Hangars,12,93,
Service,U.S.,Offices/Distribution,15,135,
Service,U.S.,Production facilities,4,3,
Service,U.S.,Leasing/Showroom/Retail,31,49,
Service,Non-U.S.,Locations in 19 countries,Training facilities/Hangars,1,"12,"
Service,Non-U.S.,Offices/Distribution,--,47,
McLane,U.S.,Distribution centers,59,27,
McLane,U.S.,Offices,4,1,
Retailing,U.S.,Offices/Warehouses,23,27,
Retailing,U.S.,Retail/Showroom,139,498,
Retailing,Non-U.S.,Locations in 6 countries,Offices/Warehouses,1,"7,"
Retailing,Non-U.S.,Retail/Offices,--,91,
