/s/WARREN E.BUFFETT,"Chairman of the Board of February 26,2022","Chairman of the Board of February 26,2022","Chairman of the Board of February 26,2022"
Warren E.Buffett/s/ GREGORY E.ABEL,Directors-Chief Executive Officer,Directors-Chief Executive Officer,Date
Warren E.Buffett/s/ GREGORY E.ABEL,Director-Vice Chairman—Non-Insurance Operations,Director-Vice Chairman—Non-Insurance Operations,"February 26,2022"
Gregory E.Abel/s/HOWARD G.BUFFETT,,,Date
Gregory E.Abel/s/HOWARD G.BUFFETT,Director,Director,"February 26,2022"
Howard G.Buffett/s/ SUSAN A.BUFFETT,,,Date
Howard G.Buffett/s/ SUSAN A.BUFFETT,Director,Director,"February 26,2022"
Susan A. Buffett/s/ STEPHEN B.BURKE,,,Date
Susan A. Buffett/s/ STEPHEN B.BURKE,Director,Director,"February 26,2022"
Stephen B. Burke/s/ KENNETHI.CHENAULT,,,Date
Stephen B. Burke/s/ KENNETHI.CHENAULT,Director,,"February 26,2022"
Kenneth I. Chenault/s/ CHRISTOPHER C.DAVIS,,,Date
Kenneth I. Chenault/s/ CHRISTOPHER C.DAVIS,Director,,"February 26,2022"
Christopher C.Davis/s/ SUSAN L.DECKER,,,Date
Christopher C.Davis/s/ SUSAN L.DECKER,Director,,"February 26,2022"
Susan L.Decker/s/ DAVID S.GOTTESMAN,,,Date
Susan L.Decker/s/ DAVID S.GOTTESMAN,Director,,"February 26,2022"
David S. Gottesman/s/ CHARLOTTE GUYMAN,,,Date
David S. Gottesman/s/ CHARLOTTE GUYMAN,Director,,"February 26,2022"
Charlotte Guyman/s/ AJIT JAIN,,,Date
Charlotte Guyman/s/ AJIT JAIN,Director-,Director-Vice Chairman-Insurance Operations,"February 26,2022"
Ajit Jain/s/ CHARLES T.MUNGER,,,Date
Ajit Jain/s/ CHARLES T.MUNGER,Director-,Director-Vice Chairman,"February 26,2022"
Charles T.Munger/s/ RONALD L. OLSON,,,Date
Charles T.Munger/s/ RONALD L. OLSON,Director,Director,"February 26,2022"
Ronald L. Olson/s/ MERYL B.WITMER,Director,Director,Date
Ronald L. Olson/s/ MERYL B.WITMER,Director,Director,"February 26,2022"
Meryl B.Witmer/s/MARC D.HAMBURG,"DateSenior Vice President—Principal Financial Officer February 26,2022","DateSenior Vice President—Principal Financial Officer February 26,2022","DateSenior Vice President—Principal Financial Officer February 26,2022"
Marc D.Hamburg/s/ DANIEL J. JAKSICH,"DateVice President—Principal Accounting Officer February 26,2022","DateVice President—Principal Accounting Officer February 26,2022","DateVice President—Principal Accounting Officer February 26,2022"
Daniel J. Jaksich,Date,Date,Date
