Revenues,2021,,2020,,2019,2021 vs 2020,2020 vs 2019
Manufacturing,"$ 68,730",,"$59,079",,"$62,730",16.3%,(5.8)%
Service and retailing,"84,282",,"75,018",,"79,945",12.3,(6.2)
,"$ 153,012",,"$134,097",,"$ 142,675",14.1%,(6.0)%
Pre-tax earnings,2021,,2020,,2019,2021 vs 2020,2020 vs 2019
Manufacturing,"$ 9,841",,"$ 8,010",,"$ 9,522",22.9%,(15.9)%
Service and retailing,"4,711",,"2,879",,"2,843",63.6,1.3
,"$ 14,552",,"$ 10,889",,"$ 12,365",33.6%,(11.9)%
Income taxes and noncontrolling interests,"3,432",,"2,589",,"2,993",,
Net earnings*,"$ 11,120",,"$ 8,300",,"$ 9,372",,
Effective income tax rate,23.0%,,23.3%,,23.7%,%,%
Pre-tax earnings as a percentage of revenues,9.5%,,8.1%,,8.7%,%,%
