"December 31,",2021,2020
Railroad:,,"Land, track structure and other roadway"
Railroad:,,"Locomotives, freight cars and other equipment"
Railroad:,,Construction in progress
Railroad:,,
Railroad:,,Accumulated depreciation
Railroad:,,Accumulated depreciation
Utilities and energy:,,
Utilities and energy:,,"Utility generation, transmission and distribution systems"
Utilities and energy:,,Interstate natural gas pipeline assets
Utilities and energy:,,Independent power plants and other assets
Utilities and energy:,,Construction in progress
Utilities and energy:,,Accumulated depreciation
Utilities and energy:,,Accumulated depreciation
Utilities and energy:,,Accumulated depreciation
Utilities and energy:,,Total
