Percentage change,Percentage change,Percentage change,Percentage change,Percentage change,
,"2021 $ 22,513","2020 20,181",2019,2021 vs 20202 11.6%,2020 vs 2019
Railroad operating revenues,$,,"$ 22,745",,(11.3)%
Railroad operating expenses:,,,,,
Compensation and benefits,"4,696","4,542","5,270",3.4,(13.8)
Fuel,"2,766","1,789",2.944,54.6,(39.2)
Purchased services,2.033,"1,954","2,049",4.0,(4.6)
Depreciation and amortization,2.444,"2,460",2.389,(0.7),3.0
"Equipment rents, materials and other","1,763","1,684",2.028,4.7,(17.0)
Total,"13,702","12,429","14,680",10.2,(15.3)
Railroad operating earnings,"8,811","7,752","8,065",13.7,(3.9)
Other revenues (expenses):,,,,,
Other revenues,769,688,770,11.8,(10.6)
"Other expenses, net",(687),(611),(515),12.4,18.6
Interest expense,"(1,032)","(1,037)","(1,070)",(0.5),(3.1)
Pre-tax earnings,"7,861","6,792","7,250",15.7,(6.3)
Income taxes,"1,871","1,631","1,769",14.7,(7.8)
Net earnings,"$ 5,990 $","5,161",$ 5.481,16.1,(5.8)
Effective income tax rate,23.8%,24.0%,24.4%,,
