Year Ended December 31,,2021,2020,2019
Revenues:,,,,
Insurance and Other:,,,,
Insurance premiums earned,"$ 69,478","$ 63,401","$ 61,078",
Sales and service revenues,"145,043","127,044","134,989",
Leasing revenues,"5,988","5,209","5,856",
"Interest, dividend and other investment income","7,465","8,092","9,240",
Total revenues,,"227,974","203,746","211,163"
"Railroad, Utilities and Energy:",,,,
Freight rail transportation revenues,,"23,177","20,750","23,357"
Energy operating revenues,,"18,891","15,540","15,353"
Service revenues and other income,,"6,052","5,474","4,743"
Total revenues,,"48,120","41,764","43,453"
Total revenues,,"276,094","245,510","254,616"
Investment and derivative contract gains,,"78,542","40,746","72,607"
Costs and expenses:,,,,
Insurance and Other:,,,,
Insurance losses and loss adjustment expenses,,"49,964","43,951","44,456"
"Life, annuity and health insurance benefits",,"6,007","5,812","4,986"
Insurance underwriting expenses,,"12,569","12,798","11,200"
Cost of sales and services,,"114,138","101,091","107,041"
Cost of leasing,,"4,201","3,520","4,003"
"Selling, general and administrative expenses",,"18,843","19,809","19,226"
Goodwill and intangible asset impairments,,—,"10,671",96
Interest expense,,"1,086","1,105","1,056"
Total costs and expenses,,"206,808","198,757","192,064"
"Railroad, Utilities and Energy:",,,,
Freight rail transportation expenses,,"14,477","13,120","15,436"
Utilities and energy cost of sales and other expenses,,"13,959","11,638","11,296"
Other expenses,,"5,615","4,796","4,002"
Interest expense,,"3,086","2,978","2,905"
Total costs and expenses,,"37,137","32,532","33,639"
Total costs and expenses,,"243,945","231,289","225,703"
Earnings before income taxes and equity method earnings,,"110,691","54,967","101,520"
Equity method earnings,,995,726,"1,176"
Earnings before income taxes,,"111,686","55,693","102,696"
Income tax expense,,"20,879","12,440","20,904"
Net earnings,,"90,807","43,253","81,792"
Earnings attributable to noncontrolling interests,,"1,012",732,375
Net earnings attributable to Berkshire Hathaway shareholders,"$ 89,795","$ 42,521","$ 81,417",
Net earnings per average equivalent Class A share,"$ 59,460","$ 26,668","$ 49,828",
Net earnings per average equivalent Class B share*,,39.64,17.78,33.22
Average equivalent Class A shares outstanding,,"1,510,180","1,594,469","1,633,946"
Average equivalent Class B shares outstanding,,"2,265,269,867","2,391,703,454","2,450,919,020"
