"Cumulative Incurred Losses and ALAE through December 31, Number of","Cumulative Incurred Losses and ALAE through December 31, Number of","Cumulative Incurred Losses and ALAE through December 31, Number of","Cumulative Incurred Losses and ALAE through December 31, Number of","Cumulative Incurred Losses and ALAE through December 31, Number of","Cumulative Incurred Losses and ALAE through December 31, Number of","Cumulative Incurred Losses and ALAE through December 31, Number of","Cumulative Incurred Losses and ALAE through December 31, Number of","Cumulative Incurred Losses and ALAE through December 31, Number of","Cumulative Incurred Losses and ALAE through December 31, Number of","Cumulative Incurred Losses and ALAE through December 31, Number of","Cumulative Incurred Losses and ALAE through December 31, Number of","Cumulative Incurred Losses and ALAE through December 31, Number of"
Accident Year,2012*,2013*,2014*,2015*,2016*,2017*,2018*,2019*,2020*,2021,IBNR and Case Development Liabilities,Reported Claims (in thousands)
,,,,,,2012 $ 873 $ 850 $ 837 $ 791 $ 780 $ 762 $ 750 $ 736 $ 718 $,,,,709 $,39,53
2013,,"1,258","1,228","1,178","1,127","1,096","1,072","1,050","1,028","1,008",96,67
2014,,,"1,743","1,638","1,614","1,548","1,482","1,497","1,477","1,460",163,90
2015,,,,"2,169","2,127",2.042,"2,014","2,025","1,997",2.006,242,111
2016,,,,,"2,511","2,422","2,359","2,325","2,365","2,370",396,115
2017,,,,,,"3,044","2,907","2,842","2,843","2,852",503,139
2018,,,,,,,"3,544","3,412","3,480","3,536",908,160
2019,,,,,,,,"4,074","4,102","4,175","1,278",173
2020,,,,,,,,,"4,421","4,278","2,089",141
2021,,,,,,,,,,"5,197","3,545",218
,,,,,,,,,,"Incurred losses and ALAE $27,591",,
