Weighted Average Interest Rate,"December 31,","December 31,"
Insurance and other:,,
"Berkshire Hathaway Inc. (""Berkshire""):",,
U.S. Dollar denominated due 2022-2047,3.3%,"$6,820"
Euro denominated due 2023-2041,1.0%,"7,792"
Japanese Yen denominated due 2023-2060,0.6%,"6,797"
"Berkshire Hathaway Finance Corporation (""BHFC""):",,
U.S. Dollar denominated due 2022-2051,3.6%,"10,758"
Great Britain Pound denominated due 2039-2059,2.5%,"2,325"
Other subsidiary borrowings due 2022-2045,4.0%,"4,438"
Short-term subsidiary borrowings,2.9%,342
,,"$39,272"
