Common stock and capital in excess of par value,Accumulated other comprehensive income,Retained earnings,Treasury stock,Non-controlling interests,Total
"$35,715","$-5,015","$321,112","$-3,109","$3,797","$352,500"
Net earnings,,"81,417",-,-,"375,81,792"
"Other comprehensive income, net",,-,-228,-,"-,-198"
Issuance (acquisition) of common stock,21,-,-,-,"-5,016,-4,995"
Transactions with noncontrolling interests,-70,-,-,-,"-,-536"
"Balance December 31, 2019","$35,666","$-5,243","$402,493","$-8,125,$428,563",
Net earnings,,-,"42,521",-,",43,253"
Adoption of new accounting pronouncement,,,-,-388,"-,-388"
"Other comprehensive income, net",,"1,000",-,-,"-,1,019"
Acquisition of common stock,,,-,,"-24,728,-24,728"
Transactions with noncontrolling interests,,,-,-,"-,3,617"
"Balance December 31, 2020","$35,634","$-4,243","$444,626","$-32,853,$451,336",
Net earnings,,-,"89,795",-,",90,807"
"Other comprehensive income, net",,216,-,-,"-,234"
Acquisition of common stock,,,-,,"-26,942,-26,942"
Transactions with noncontrolling interests,,,-,-,"-,505"
"Balance December 31, 2021","$35,600","$-4,027","$534,421","$-59,795,$8,731,$514,930",
