,"Year Ended December 31,","Year Ended December 31,","Year Ended December 31,"
,2021,2020,2019
Net earnings,$ 90.807,"$ 43,253","$ 81,792"
Other comprehensive income:,,,
Unrealized appreciation of fixed maturity securities,(217),74,142
Applicable income taxes,50,(19),(31)
Foreign currency translation,"(1,011)","1,284",323
Applicable income taxes,(6),3,(28)
Defined benefit pension plans,"1,775",(355),(711)
Applicable income taxes,(457),74,155
"Other, net",100,(42),(48)
"Other comprehensive income, net",234,"1,019",(198)
Comprehensive income,"91,041","44,272","81,594"
Comprehensive income attributable to noncontrolling interests,"1,030",751,405
Comprehensive income atributable to Berkshire Hathaway shareholders,"$ 90,011","$ 43,521","$ 81,189"
