,Capital expenditures,Capital expenditures,Capital expenditures,Depreciation of tangible assets,Depreciation of tangible assets,Depreciation of tangible assets
,2021,2020,2019,2021,2020,2019
Operating Businesses,Operating Businesses,Operating Businesses,Operating Businesses,Operating Businesses,Operating Businesses,Operating Businesses
Insurance,$ 62,$ 50,108,$ 72,74$,82
BNSF,"2,910","3,063","3,608","2,406",2.423,2.350
BHE,"6,611","6,765","7,364","3,584","3,376","2,947"
Manufacturing,"2,100","2,133","2,981","2,037","2,026","1,951"
McLane,106,98,158,189,204,225
Service and retailing,"1,487",903,"1,760","1,177","1,216","1,192"
,"$13,276","$13,012","$ 15,979","$ 9,465","9,319","$ 8,747"
