Year Ended December 31,,2021,2020,2019
Net earnings,$,"$ 90,807","$ 43,253","$ 81,792"
Adjustments to reconcile net earnings to operating cash flows:,Investment (gains) losses,"(77,576)","(40,905)","(71,123)"
,Depreciation and amortization,"10,718","10,596","10,064"
,"Other, including asset impairment charges","(3,397)","11,263","(1,254)"
Changes in operating assets and liabilities:,Unpaid losses and loss adjustment expenses,"4,595","4,819","6,087"
,Deferred charges - retroactive reinsurance,"1,802","1,307",357
,Unearned premiums,"2,306","1,587","1,707"
,Receivables and originated loans,"(5,834)",,"(2,303)"
,Other assets,"(1,686)","(1,109)","(2,011)"
,Other liabilities,"2,389","3,376",190
,Income taxes,,"7,195","15,181"
Net cash flows from operating activities,,"39,421","39,773","38,687"
Cash flows from investing activities:,Purchases of equity securities,"(8,448)","(30,161)","(18,642)"
,Sales of equity securities,"15,849",,"(18,642)"
,Purchases of U.S. Treasury Bills and fixed maturity securities,"(152,637)","(208,429)","(136,123)"
,Sales of U.S. Treasury Bills and fixed maturity securities,"27,188","(208,429)","(136,123)"
,Redemptions and maturities of U.S. Treasury Bills and fixed maturity securities,"160,402","149,709","137,767"
,Purchases of loans and finance receivables,(88),,(75)
,Collections of loans and finance receivables,561,393,345
,"Acquisitions of businesses, net of cash acquired",(456),,"(1,683)"
,"Purchases of property, plant and equipment and equipment held for lease","(13,276)",,"(15,979)"
,Other,297,"-3,582","-1,496"
Net cash flows from investing activities,,"29,392","-37,757","-5,621"
Cash flows from financing activities:,Proceeds from borrowings of insurance and other businesses,"2,961","5,925","8,144"
,Repayments of borrowings of insurance and other businesses,"(3,032)","-2,700","-5,095"
,"Proceeds from borrowings of railroad, utilities and energy businesses",,"8,445","5,400"
,"Repayments of borrowings of railroad, utilities and energy businesses","(4,016)","-3,761","-2,638"
,"Changes in short term borrowings, net",(624),"-1,118",266
,Acquisition of treasury stock,"(27,061)","-24,706","-4,850"
,Other,(695),-429,-497
Net cash flows from financing activities,,"-28,508","-18,344",730
Effects of foreign currency exchange rate changes,,"5,92",25,
Increase (decrease) in cash and cash equivalents and restricted cash,,"40,310","-16,236","33,821"
Cash and cash equivalents and restricted cash at beginning of year,,"48,396","64,632","30,811"
Cash and cash equivalents and restricted cash at end of year *,$,"$ 88,706","$ 48,396","$ 64,632"
* Cash and cash equivalents and restricted cash at end of year are comprised of:,Insurance and Other,"$ 85,319","$ 44,714","$ 61,151"
,"Railroad, Utilities and Energy","2,865","3,276","3,024"
Restricted cash included in other assets,,522,406,457
