,Revenues,Revenues,Revenues,Earnings before income taxes,Earnings before income taxes,Earnings before income taxes
,2021,2020,2019,2021,2020,2019
Operating Businesses,,,,,,
Insurance:,,,,,,
Underwriting:,,,,,,
GEICO,,"$37,706 $ 35,093 $ 35,572",,"$ 1,259","$ 3,428","$ 1,506"
Berkshire Hathaway Primary Group,"11,575",9.615,"9,165",607,110,383
Berkshire Hathaway Reinsurance Group,"20,197","18,693",16.341,(930),"(2,700)","(1,472)"
Insurance underwriting,"69,478","63,401","61,078",936,838,417
Investment income,"5,662","5,960","6,615",5.649,"5,949","6,600"
Total insurance,"75,140","69,361","67,693","6,585","6,787",7.017
BNSF,"23,282","20,869","23,515","7,861","6,792","7,250"
BHE,"24,987","21,031","20,114","3,184","2,479","2,618"
Manufacturing,"68,730","59,079","62,730","9,841",8.010,9.522
McLane,"49,450","46,840","50,458",230,251,288
Service and retailing,"34,832","28,178","29,487","4,481","2,628",2.555
,"276,421","245,358","253,997","32,182","26,947","29,250"
Reconciliation to consolidated amount,,,,,,
Investment and derivative gains (losses),,,,"78,542","40,746",72.607
"Interest expense, not allocated to segments",,,,(455),(483),(416)
Equity method investments,,,,995,726,"1,176"
Goodwill and intangible asset impairments,,,,,"(10,671)",(96)
"Corporate, eliminations and other",(327),152,619,422,"(1,572)",175
,"$276,094","$ 245,510","$254,616","$111,686","$ 55,693",$102.696
,,Interest expense,,,,
,2021,2020,2019,2021,Income tax expense 2020,2019
Operating Businesses,,,,,,
Insurance,$,$,$,"$ 1,050","$ 1,089","$ 1,166"
BNSF,"1,032","1,037","1,070","1,871","1,631","1,769"
BHE,"2,054","1,941","1,835","(1,177)","(1,010)",(526)
Manufacturing,704,737,752,"2,193","1,795","2,253"
McLane,,一,,61,71,71
Service and retailing,38,61,86,"1,086",669,603
,"3,828","3,776","3,743","5,084","4,245","5,336"
Reconciliation to consolidated amount,,,,,,
Investment and derivative gains,,,,16.025,"8,855","15,159"
"Interest expense, not allocated to segments",455,483,416,(96),(102),(88)
Equity method investments,,,,106,57,148
"Corporate, eliminations and other",(111),(176),(198),(240),(615),349
,"$ 4,172","$ 4,083","$ 3,961","$ 20,879","$ 12,440","$ 20,904"
