"December 31,2021",2020
ASSETS,Insurance and Other:
Cash and cash equivalents*,"$ 85,319"
Short-term investments in U.S. Treasury Bills,"58,535"
Investments in fixed maturity securities,"16,434"
Investments in equity securities,"350,719"
Equity method investments,"17,375"
Loans and finance receivables,"20,751"
Other receivables,"35,388"
Inventories,"20,954"
"Property, plant and equipment","20,834"
Equipment held for lease,"14,918"
Goodwill,"47,117"
Other intangible assets,
Deferred charges - retroactive reinsurance,"10,639"
Other,"15,854"
,"743,323"
"Railroad, Utilities and Energy:",
Cash and cash equivalents*,"2,865"
Receivables,
"Property, plant and equipment","155,530"
Goodwill,"26,758"
Regulatory assets,"3,963"
Other,"22,168"
,"215,461"
,"$ 958,784"
