/s/,WARREN E. BUFFETT,Chairman of the Board of Directors,"February 26, 2022"
/s/,WARREN E. BUFFETT,Warren E. Buffett,"Chief Executive Officer, February 26, 2022"
/s/,GREGORY E. ABEL,Director—Vice Chairman—Non-Insurance Operations,"February 26, 2022"
/s/,HOWARD G. BUFFETT,Director,"February 26, 2022"
/s/,SUSAN A. BUFFETT,Director,"February 26, 2022"
/s/,STEPHEN B. BURKE,Director,"February 26, 2022"
/s/,KENNETH I. CHENAULT,Director,"February 26, 2022"
/s/,CHRISTOPHER C. DAVIS,Director,"February 26, 2022"
/s/,SUSAN L. DECKER,Director,"February 26, 2022"
/s/,DAVID S. GOTTESMAN,Director,"February 26, 2022"
/s/,CHARLOTTE GUYMAN,Director,"February 26, 2022"
/s/,AJIT JAIN,Director—Vice Chairman—Insurance Operations,"February 26, 2022"
/s/,CHARLES T. MUNGER,Director—Vice Chairman,"February 26, 2022"
/s/,RONALD L. OLSON,Director,"February 26, 2022"
/s/,MERYL B. WITMER,Director,"February 26, 2022"
/s/,MARC D. HAMBURG,Senior Vice President—Principal Financial Officer,"February 26, 2022"
/s/,DANIEL J. JAKSICH,Vice President—Principal Accounting Officer,"February 26, 2022"
