Report of Independent Registered Public Accounting Firm (PCAOB ID No. 34),PAGE K-67
Consolidated Balance Sheets—,
"December 31,2021 and December 31,2020 Consolidated Statements of Earnings-",K-70
"Years Ended December 31,2021,December 31,2020,and December 31,2019 Consolidated Statements of Comprehensive Income-",K-72
"Years Ended December 31,2021,December 31,2020,and December 31,2019 Consolidated Statements of Changes in Shareholders’Equity—",K-73
"Years Ended December 31,2021,December 31,2020,and December 31,2019",K-73
"Consolidated Statements of Cash Flows— Years Ended December 31,2021,December 31,2020,and December 31,2019",K-74
Notes to Consolidated Financial Statements,K-75
2.Financial Statement Schedule,
Report of Independent Registered Public Accounting Firm,K-114
Schedule I—Parent Company Condensed Financial Information,
"Balance Sheets as of December 31,2021 and 2020, Statements of Earnings and Comprehensive Income",
"and Cash Flows for the years ended December 31,2021,December 31,2020 and December 31,2019 and Note to Condensed Financial Information",K-115
