Business,Country,Locations,Property/Facility type,Number of Properties Owned,Leased
Insurance:,,,,,
GEICO,U.S.,,Offices and claims centers,10,113
BHRG,U.S.,,Offices,1,27
,Non-U.S.,Locations in 23 countries,Offices,1,37
BH Primary,U.S.,,Offices,5,48
,Non-U.S.,Locations in 7 countries,Offices,,15
Manufacturing,,,Manufacturing facility,,
,U.S.,,Offices/Warehouses,484,113
,,,Retail/Showroom,214,476
,,,,231,195
,,,Housing subdivisions,319,
,,Non-U.S.Locations in 63 countries,Manufacturing facility,179,111
,,,Offices/Warehouses,106,437
,,,Retail/Showroom,,4
Service,U.S.,,Training facilities/Hangars,12,93
,,,Offices/Distribution,15,135
,,,Production facilities,4,3
,,,Leasing/Showroom/Retail,31,49
,Non-U.S.,Locations in 19 countries,Training facilities/Hangars,1,12
,,,Offices/Distribution,,47
McLane,U.S.,,Distribution centers,59,27
,,,Offices,4,1
Retailing,U.S.,,Offices/Warehouses,,
,,,Retail/Showroom,23 139,27 498
,Non-U.S.,Locations in 6 countries,Offices/Warehouses,,
,,,Retail/Offices,1,7 91
