"December 31, 2021",Amortized Cost,Unrealized Gains,Unrealized Losses,Fair Value
"U.S. Treasury, U.S. government corporations and agencies","$ 3,286",$ 22,$(5),"$ 3,303"
Foreign governments,"10,998",29,(33),"10,994"
Corporate bonds,"1,363",412,(1),"1,774"
Other,317,47,(1),363
"$ 15,964",$ 510,$(40),,"$ 16,434"
"December 31, 2020",Amortized Cost,Unrealized Gains,Unrealized Losses,Fair Value
"U.S. Treasury, U.S. government corporations and agencies","$ 3,348",$ 55,$ —,"$ 3,403"
Foreign governments,"11,233",110,(5),"11,338"
Corporate bonds,"4,729",464,(2),"5,191"
Other,414,66,(2),478
"$ 19,724",$ 695,$(9),,"$ 20,410"
