Premiums written,2021,2020,2019,,,,,,
Property/casualty,"$14,149","$13,295","$10,428",,,,$ 667,$ (799),16
Life/health,"5,621","5,848","4,963",,,,(421),(18),159
Retroactive reinsurance,136,38,684,136,38,684,(782),"(1,248)","(1,265)"
Periodic payment annuity,658,566,863,658,566,863,(508),(617),(549)
Variable annuity,15,14,14,15,14,14,114,(18),167
$,"$20,579","$19,761","$16,952",,,,,,
Premiums earned,2021,2020,2019,,,,,,
Property/casualty,,,,"$13,740","$12,214","$9,911",,,
Life/health,,,,"5,648","5,861","4,869",,,
Retroactive reinsurance,,,,136,38,684,,,
Periodic payment annuity,,,,658,566,863,,,
Variable annuity,,,,15,14,14,,,
$,,,,"$20,197","$18,693","$16,341",,,
Pre-tax underwriting earnings (loss),,,,,,,2021,2020,2019
Property/casualty,,,,,,,$ 667,$ (799),16
Life/health,,,,,,,(421),(18),159
Retroactive reinsurance,,,,,,,(782),"(1,248)","(1,265)"
Periodic payment annuity,,,,,,,(508),(617),(549)
Variable annuity,,,,,,,114,(18),167
$,,,,,,,$ (930),"$(2,700)","$(1,472)"
