,"Unrealized appreciation of fixed maturity securities, net",Foreign currency,Defined benefit,,Accumulated other comprehensive
"Balance December 31, 2018",$ 370 $,"translation (4,603) $",pension plans (816) $,Other 34$,"income (5,015)"
Other comprehensive income,160,257,(644),(48),(275)
Reclassifications into net earnings,(49),,91,5,47
"Balance December 31, 2019",481,"(4,346)","(1,369)",（9,"(5,243)"
Other comprehensive income,78,"1,264",(385),(52),905
Reclassifications into net earnings,(23),,109,9,95
"Balance December 31, 2020",536,"(3,082)","(1,645)",(52),"(4,243)"
Other comprehensive income,(123),"(1,021)","1,163",80,99
Reclassifications into net earnings,(44),11,135,15,117
"Balance December 31,2021",$ 369 $,"(4,092)",$ (347),$ 43,"$ (4,027)"
