,Fair Value,Fair Value,Fair Value,Fair Value,Investment funds and partnerships,Investment funds and partnerships
,Total,Level1,Level 2,Level 3,,at net asset value
"December 31,2021",,,,,,
Cash and cash equivalents,992$ $,901,$,91$,$,
Equity securities,"11,343","10,358",,660,325,
Fixed maturity securities,"3.,422",2.226,,"1,168",28,
Investment funds and other,"2,863",180,,361,57,2.265
,$ 18.620,"$ 13,665",$,"2,280 $",410 $,"2,265"
"December 31, 2020",,,,,,
Cash and cash equivalents,$ 383$,243$,,140$,$,
Equity securities,"11,383","10,123",,851,409,
Fixed maturity securities,"3,173",2.214 198,,926,33,
Investment funds and other,2.999,"12,778",$,398 2.315 $,56,"2,347"
,"$ 17,938",$,,,498 $,2.347
