Year ended December 31,,2021,2020,2019
Income items:,From consolidated subsidiaries:,Dividends and distributions,"$ 13,462","$ 26,110,$ 15,603"
Income items:,From consolidated subsidiaries:,Undistributed earnings,"74,819","17,402,65,237"
Income items:,From consolidated subsidiaries:,,"88,281","43,512,80,840"
Income items:,From consolidated subsidiaries:,Investment gains (losses),35,"(24),(125)"
Income items:,From consolidated subsidiaries:,Equity in net earnings of The Kraft Heinz Company,269,"95,493"
Income items:,From consolidated subsidiaries:,Other income,73,"328,780"
Income items:,From consolidated subsidiaries:,,"88,658","43,911,81,988"
Cost and expense items:,General and administrative,136,194,122
Cost and expense items:,Interest expense,444,489,591
Cost and expense items:,Foreign exchange (gains) losses on non-U.S. Dollar denominated debt,"(1,281)",970,(193)
Cost and expense items:,Income tax expense (benefit),(436),(263),51
Cost and expense items:,,"(1,137)","1,390",571
Net earnings attributable to Berkshire Hathaway shareholders,"89,795","42,521","81,417",
Other comprehensive income attributable to Berkshire Hathaway shareholders,216,"1,000",(228),
Comprehensive income attributable to Berkshire Hathaway shareholders,"$ 90,011","$ 43,521","$ 81,189",
