,"December 31, 2020","December 31, 2020"
,2021,2021
ASSETS,ASSETS,
Insurance and Other: $,,
Cash and cash equivalents*,"85,319","$ 44,714"
Short-term investments in U.S. Treasury Bills,"58,535","90,300"
Investments in fixed maturity securities,"16,434","20,410"
Investments in equity securities,"350,719","281,170"
Equity method investments,"17,375","17,303"
Loans and finance receivables,"20,751","19,201"
Other receivables,"35,388","32,310"
Inventories,"20,954","19,208"
"Property, plant and equipment","20,834","21,200"
Equipment held for lease,"14,918","14,601"
Goodwill,"47,117","47,121"
Other intangible assets,,
Deferred charges - retroactive reinsurance,"28,486","29,462"
,"10,639","12,441"
Other,"15,854","14,580"
,"743,323","664,021"
"Railroad, Utilities and Energy:",,
Cash and cash equivalents*,"2.,865","3,276"
"Receivables Property, plant and equipment","4,177","3,542"
Goodwill,"155,530","151,216"
Regulatory assets,"26,758",26.613
Other,"3,963","3,440"
,"22,168","21,621"
,"215,461 $","209,708"
,"958,784","$ 873,729"
