Revenues:,2021,2020,2019
Energy operating revenue,"$ 18,935","$ 15,556","$ 15,371"
Real estate operating revenue,"6,215","5,396","4,473"
Other income (loss),(163),79,270
Total revenue,"24,987","21,031","20,114"
Costs and expense:,Energy cost of sales,"5,504","4,187,4,586"
Energy operating expense,"8,535","7,539","6,824"
Real estate operating costs and expense,"5,710","4,885","4,251"
Interest expense,"2,054","1,941","1,835"
Total costs and expense,"21,803","18,552","17,496"
Pre-tax earnings,"3,184","2,479","2,618"
Income tax expense (benefit)*,"(1,177)","(1,010)",(526)
Net earnings after income taxes,"4,361","3,489","3,144"
Noncontrolling interests of BHE subsidiaries,399,71,18
Net earnings attributable to BHE,"3,962","3,418","3,126"
Noncontrolling interests and preferred stock dividends,467,327,286
Net earnings attributable to Berkshire Hathaway shareholders,"$ 3,495","$ 3,091","$ 2,840"
Effective income tax rate,(37.0)%,(40.7)%,(20.1)%
