Carrying Value,Fair Value,Quoted Prices (Level 1),Significant Other Observable Inputs (Level 2),Significant Unobservable Inputs (Level 3)
"U.S. Treasury, U.S. government corporations and agencies","$ 3,303","$ 3,303","$ 3,261","42,"
Foreign governments,"10,994","10,994","10,286","708,"
Corporate bonds,"1,774","1,774",,"1,774,"
Other,363,363,,"363,"
"350,719","350,719","339,225",8,"11,486"
"13,112","11,683","11,683",,
"20,751","22,174",,"2,178","19,996"
329,329,6,230,93
277,277,2,51,224
99,99,,,99
"39,272","42,339",,"42,292",47
"74,990","87,065",,"87,065",
"U.S. Treasury, U.S. government corporations and agencies","$ 3,403","$ 3,403","$ 3,358","45,"
Foreign governments,"11,338","11,338","9,259","2,079,"
Corporate bonds,"5,191","5,191",,"5,191,"
Other,478,478,,"478,"
"281,170","281,170","271,848",38,"9,284"
"13,336","11,280","11,280",,
"19,201","20,554",,"2,692","17,862"
270,270,1,72,197
121,121,6,96,19
"1,065","1,065",,,"1,065"
"41,522","46,676",,"46,665",11
"75,373","92,593",,"92,593",
