,2021,,2020,2019
Balances at beginning of year:,,,,
Gross liabilities,"$ 79,854","$ 79,854","$ 73,019","$ 68,458"
Reinsurance recoverable on unpaid losses,(2.912),(2.912),"(2,855)","(3,060)"
Net liabilities,"76,942",,"70,164","65,398"
Incurred losses and loss adjustment expenses:,,,,
Current accident year,"52,099",,"43,400","43,335"
Prior accident years,"(3,116)",,(356),(752)
Total,"48,983",,"43,044","42,583"
Paid losses and loss adjustment expenses:,,,,
Current accident year,"(22,897)",,"(17,884)","(19,482)"
Prior accident years,"(18,904)",,"(18,862)","(17,642)"
Total,"(41,801)",,"(36,746)","(37,124)"
Foreign currency effectBusiness acquisition (disposition),(420),,480,(23)
Foreign currency effectBusiness acquisition (disposition),,,,(670)
Balances at December 31:,,,,
Net liabilities,"83,704","83,704","76,942","70,164"
Reinsurance recoverable on unpaid losses,"2,960","2,960","2,912","2,855"
Gross liabilities,"$ 86,664","$ 86,664","$ 79,854",$ 73.019
