Weighted\tAverage\tInterest\tRate\tDecember\t31,\t2021\tDecember\t31,\t2020
Insurance\tand\tother:\t\t\t\t\t\t\t\t\t\t\t\t,,
"Berkshire\tHathaway\tInc.\t(\t""Berksire""\t):\t\t\t\t\t\t\t\t\t\t\t\t",,
U.S.\tDollar\tdenominated\tdue\t2022-2047\t3.3%\t$6,820\t$\t8,308
Euro\tdenominated\tdue\t2023-2041\t1.0%\t7,792\t8,326
Japanese\tYen\tdenominated\tdue\t2023-2060\t0.6%\t6,797\t6,031
"Berkshire\tHathaway\tFinance\tCorporation\t(\t""BHFC""\t):\t\t\t\t\t\t\t\t\t\t\t\t",,
U.S.\tDollar\tdenominated\tdue\t2022-2051\t3.6%\t10,758\t10,766
Great\tBritain\tPound\tdenominated\tdue\t2039-2059\t2.5%\t2,325\t2,347
Other\tsubsidiary\tborrowings\tdue\t2022-2045\t4.0%\t4,438\t4,682
Short-term\tsubsidiary\tborrowings\t2.9%\t342\t1,062,
\t\t\t\t\t\t\t\t\t\t\t\t\t\t\t\t\t\t\t\t\t\t\t\t\t\t\t\t\t\t\t,,
