,,2021 2020,2021 2020,2021 2020,2021 2020,2021 2020,2019,2019,
,,Unpaid losses Deferredand loss charges -,Unpaid losses Deferredand loss charges -,Unpaid losses Deferred,Unpaid losses Deferred,Unpaid losses Deferred,Unpaid losses Deferred,,
,,Unpaid losses Deferredand loss charges -,Unpaid losses Deferredand loss charges -,charges -,and loss charges -,and loss charges -,and loss charges -,and loss charges -,
,,adjustment,retroactive,adjustment retroactive,adjustment retroactive,adjustment retroactive,adjustment retroactive,,
,,expenses,reinsurance,expenses,reinsurance,expenses reinsurance,expenses reinsurance,,
Balances at beginning of year,Balances at beginning of year,"$ 40,966","$ (12,441) $",42.441,"$ (13,747) $ 41,834$ (14,104)","$ (13,747) $ 41,834$ (14,104)","$ (13,747) $ 41,834$ (14,104)","$ (13,747) $ 41,834$ (14,104)",
Incurred losses and loss adjustment expenses:,Incurred losses and loss adjustment expenses:,,,,,,,,
Current year contracts,Current year contracts,153,(17),,,"1,138 (453)","1,138 (453)",）,
Prior years’ contracts,Prior years’ contracts,(974),"1,819",(399),"1,306",378,810,,
TotalPaid losses and loss adjustment expensesBalances at December 31,TotalPaid losses and loss adjustment expensesBalances at December 31,(821),"1,802",(399),"1,306","1,516",357,,
TotalPaid losses and loss adjustment expensesBalances at December 31,TotalPaid losses and loss adjustment expensesBalances at December 31,"(1,889)",,"(1,076)",,(909),,,
TotalPaid losses and loss adjustment expensesBalances at December 31,TotalPaid losses and loss adjustment expensesBalances at December 31,$,"38,256 $ (10,639)$","$40,966","40,966 $ (12,441)$","42,441","$ (13,747)",,
"Incurred losses and loss adjustment expenses, netof deferred charges","Incurred losses and loss adjustment expenses, netof deferred charges",,,,,,,,
"Incurred losses and loss adjustment expenses, netof deferred charges","Incurred losses and loss adjustment expenses, netof deferred charges",$ 981,,$ 907,,"$ 1,873",,,
