,Carrying Value,Fair Value,Quoted Prices (Level 1),Other Observable Inputs (Level 2),Significant Unobservable Inputs (Level 3)
"December 31, 2021","December 31, 2021","December 31, 2021","December 31, 2021","December 31, 2021","December 31, 2021"
"Investments in fixed maturity securities: U.S. Treasury, U.S. government corporations and","Investments in fixed maturity securities: U.S. Treasury, U.S. government corporations and","Investments in fixed maturity securities: U.S. Treasury, U.S. government corporations and","Investments in fixed maturity securities: U.S. Treasury, U.S. government corporations and","Investments in fixed maturity securities: U.S. Treasury, U.S. government corporations and","Investments in fixed maturity securities: U.S. Treasury, U.S. government corporations and"
agencies $,"3,303","$ 3,303","3,261",42 $,
Foreign governments,"10,994",10.994,"10,286",708,
Corporate bonds,"1,774","1,774",,"1,774",
Other,363,363,,363,
Investments in equity securities,"350,719","350,719","339,225",8,"11,486"
Investment in Kraft Heinz common stock,"13,112","11,683","11,683",,
Loans and finance receivables,"20,751","22,174",,"2,178","19,996"
Derivative contract assets (1),329,329,6,230,93
Derivative contract liabilities:,Derivative contract liabilities:,Derivative contract liabilities:,Derivative contract liabilities:,Derivative contract liabilities:,Derivative contract liabilities:
"Railroad, utilities and energy ()",277,277,2,,224
Equity index put options (i),99,99,,51,99
Notes payable and other borrowings:,Notes payable and other borrowings:,Notes payable and other borrowings:,Notes payable and other borrowings:,Notes payable and other borrowings:,Notes payable and other borrowings:
Insurance and other,"39,272","42,339",,42.292,
"Railroad, utilities and energy","74,990","87,065",,"87,065",47
"December 31,2020","December 31,2020","December 31,2020","December 31,2020","December 31,2020","December 31,2020"
Investments in fixed maturity securities:,Investments in fixed maturity securities:,Investments in fixed maturity securities:,Investments in fixed maturity securities:,Investments in fixed maturity securities:,Investments in fixed maturity securities:
"U.S. Treasury, U.S. government corporations and agencies","3,403","$ 3,403","$ 3,358",45$,
Foreign governments,"$ 11,338","11,338","9,259","2,079",
Corporate bonds,"5,191","5,191",,"5,191",
Other,478,478,,478,
Investments in equity securities,"281,170","281,170","271,848",38,"9,284"
Investment in Kraft Heinz common stock,"13,336","11,280","11,280",,
Loans and finance receivables,"19,201","20,554",,"2,692","17,862"
Derivative contract assets (1),270,270,1,72,197
Derivative contract liabilities:,Derivative contract liabilities:,Derivative contract liabilities:,Derivative contract liabilities:,Derivative contract liabilities:,Derivative contract liabilities:
"Railroad, utilities and energy (1)",121,121,6,96,19
Equity index put options (i),"1,065","1,065",,,"1,065"
Notes payable and other borrowings:,Notes payable and other borrowings:,Notes payable and other borrowings:,Notes payable and other borrowings:,Notes payable and other borrowings:,Notes payable and other borrowings:
Insurance and other,"41,522",46.676,,46.665,11
"Railroad, utilities and energy","75,373",92.593,,92.593,
