Percentage of,Percentage of,Percentage of,Percentage of,
Shares,Company,Company Owned,Cost*,Market
,,,(in millions),(in millions)
"151,610,700",American Express Company,19.9,"1,287","24,804"
"907,559,761",Apple Inc.,5.6,"31,089","161,155"
"1,032,852,006",Bank of America Corp.,12.8,"14,631","45,952"
"66,835,615",The Bank of New York Mellon Corp.,8.3,"2,918","3,882"
"225,000,000",BYD Co. Ltd.**.,7.7,232,"7,693"
"3,828,941","Charter Communications, Inc.",2.2,643,"2,496"
"38,245,036",Chevron Corporation,2.0,"3,420","4,488"
"400,000,000",The Coca-Cola Company,9.2,"1,299","23,684"
"52,975,000",General Motors Company,3.6,"1,616","3,106"
"89,241,000",ITOCHU Corporation,5.6,"2,099","2,728"
"81,714,800",Mitsubishi Corporation,5.5,"2,102","2,593"
"93,776,200","Mitsui & Co., Ltd.",5.7,"1,621","2,219"
"24,669,778",Moody's Corporation,13.3,248,"9,636"
"143,456,055",U.S. Bancorp,9.7,"5,384","8,058"
"158,824,575",Verizon Communications Inc.,3.8,"9,387","8,253"
,Others***,,"26,629","39,972"
,Total Equity Investments Carried at Market,,"$104,605","$350,719"
