Accident Year,2012*,2013*,2014*,2015*,2016*,2017*,2018*,2019*,2020*,2021
2012,$ 308$,747,"$ 1,139","$ 1,368",,,"$ 1,525 $ 1,650 $ 1,750","5$ 1,810","$ 1,868","$ 1,906"
2013,,290,519,805,933,"1,037","1,139","1,199","1,256","1,290"
2014,,,149,477,642,752,874,959,"1,103","1,147"
2015,,,,196,489,713,833,924,"1,014","1,088"
2016,,,,,253,555,732,862,960,"1,043"
2017,,,,,,230,564,819,"1,269","1,376"
2018,,,,,,,265,867,"1,639","1,909"
2019,,,,,,,,353,896,"1,176"
2020,,,,,,,,,404,970
2021,,,,,,,,,,307
,,,,,,,,Paid losses and ALAE,,"12,212"
Net unpaid losses and ALAE for 2012 -2021 accident years,,,,,,,,,,"14,923"
,,,,,,,Net unpaid losses and ALAE for accident years before 2012,,,"8,688"
,,,,,,,Net unpaid losses and ALAE $23.611,,,
