2021,Manufacturing,McLane,Service and retailing,BNSF,Berkshire Hathaway Energy,Insurance, Corporate and other,Total
Manufactured products:,,,,,,,,
Industrial and commercial products,"$ 22,184",$ —,$ 159,$ —,$ —,$ —,"$ 22,343",
Building products,"$ 19,604",$ —,$ —,$ —,$ —,$ —,"$ 19,604",
Consumer products,"$ 18,540",$ —,$ —,$ —,$ —,$ —,"$ 18,540",
Grocery and convenience store distribution,$ —,"$ 31,245",$ —,$ —,$ —,$ —,"$ 31,245",
Food and beverage distribution,$ —,"$ 17,332",$ —,$ —,$ —,$ —,"$ 17,332",
Auto sales,$ —,$ —,"$ 9,966",$ —,$ —,$ —,"$ 9,966",
Other retail and wholesale distribution,"$ 2,997",$ —,"$ 15,898",$ —,$ —,$ —,"$ 18,895",
Service,"$ 1,486",$ 751,"$ 4,123","$ 23,120","$ 5,583",$ —,"$ 35,063",
Electricity and natural gas,$ —,$ —,$ —,$ —,"$ 18,264",$ —,"$ 18,264",
Total,"$ 64,811","$ 49,328","$ 30,146","$ 23,120","$ 23,847",$ —,"$ 191,252",
Other revenues,"$ 3,766",$ 122,"$ 4,601",$ 57,"$ 1,096","$ 75,200","$ 84,842",
,"$ 68,577","$ 49,450","$ 34,747","$ 23,177","$ 24,943","$ 75,200","$ 276,094",
2020,Manufactured products:,,,,,,,
Industrial and commercial products,"$ 20,772",$ —,$ 192,$ —,$ —,$ —,"$ 20,964",
Building products,"$ 15,943",$ —,$ —,$ —,$ —,$ —,"$ 15,943",
Consumer products,"$ 14,757",$ —,$ —,$ —,$ —,$ —,"$ 14,757",
Grocery and convenience store distribution,$ —,"$ 30,795",$ —,$ —,$ —,$ —,"$ 30,795",
Food and beverage distribution,$ —,"$ 15,368",$ —,$ —,$ —,$ —,"$ 15,368",
Auto sales,$ —,$ —,"$ 8,258",$ —,$ —,$ —,"$ 8,258",
Other retail and wholesale distribution,"$ 2,452",$ —,"$ 12,470",$ —,$ —,$ —,"$ 14,922",
Service,"$ 1,456",$ 584,"$ 3,332","$ 20,693","$ 4,595",$ —,"$ 30,660",
Electricity and natural gas,$ —,$ —,$ —,$ —,"$ 15,066",$ —,"$ 15,066",
Total,"$ 55,380","$ 46,747","$ 24,252","$ 20,693","$ 19,661",$ —,"$ 166,733",
Other revenues,"$ 3,598",$ 93,"$ 3,859",$ 57,"$ 1,353","$ 69,817","$ 78,777",
,"$ 58,978","$ 46,840","$ 28,111","$ 20,750","$ 21,014","$ 69,817","$ 245,510",
2019,Manufactured products:,,,,,,,
Industrial and commercial products,"$ 25,311",$ —,$ 184,$ —,$ —,$ —,"$ 25,495",
Building products,"$ 15,620",$ —,$ —,$ —,$ —,$ —,"$ 15,620",
Consumer products,"$ 14,120",$ —,$ —,$ —,$ —,$ —,"$ 14,120",
Grocery and convenience store distribution,$ —,"$ 33,057",$ —,$ —,$ —,$ —,"$ 33,057",
Food and beverage distribution,$ —,"$ 16,767",$ —,$ —,$ —,$ —,"$ 16,767",
Auto sales,$ —,$ —,"$ 8,481",$ —,$ —,$ —,"$ 8,481",
Other retail and wholesale distribution,"$ 2,299",$ —,"$ 12,213",$ —,$ —,$ —,"$ 14,512",
Service,"$ 1,642",$ 539,"$ 4,062","$ 23,302","$ 4,096",$ —,"$ 33,641",
Electricity and natural gas,$ —,$ —,$ —,$ —,"$ 14,819",$ —,"$ 14,819",
Total,"$ 58,992","$ 50,363","$ 24,940","$ 23,302","$ 18,915",$ —,"$ 176,512",
Other revenues,"$ 3,632",$ 95,"$ 4,459",$ 55,"$ 1,181","$ 68,682","$ 78,104",
,"$ 62,624","$ 50,458","$ 29,399","$ 23,357","$ 20,096","$ 68,682","$ 254,616",
