,,,,,,Berkshire Hathawayshareholders'equityCommonstock and Accumulatedcapital in other Non-excess of comprehensive Retained Treasury controllingpar value income earnings stock interests Total,Berkshire Hathawayshareholders'equityCommonstock and Accumulatedcapital in other Non-excess of comprehensive Retained Treasury controllingpar value income earnings stock interests Total,Berkshire Hathawayshareholders'equityCommonstock and Accumulatedcapital in other Non-excess of comprehensive Retained Treasury controllingpar value income earnings stock interests Total,Berkshire Hathawayshareholders'equityCommonstock and Accumulatedcapital in other Non-excess of comprehensive Retained Treasury controllingpar value income earnings stock interests Total,,,
,,,,,,Berkshire Hathawayshareholders'equityCommonstock and Accumulatedcapital in other Non-excess of comprehensive Retained Treasury controllingpar value income earnings stock interests Total,Berkshire Hathawayshareholders'equityCommonstock and Accumulatedcapital in other Non-excess of comprehensive Retained Treasury controllingpar value income earnings stock interests Total,Berkshire Hathawayshareholders'equityCommonstock and Accumulatedcapital in other Non-excess of comprehensive Retained Treasury controllingpar value income earnings stock interests Total,Berkshire Hathawayshareholders'equityCommonstock and Accumulatedcapital in other Non-excess of comprehensive Retained Treasury controllingpar value income earnings stock interests Total,,,
,,,,,,,,Berkshire Hathawayshareholders'equityCommonstock and Accumulatedcapital in other Non-excess of comprehensive Retained Treasury controllingpar value income earnings stock interests Total,Berkshire Hathawayshareholders'equityCommonstock and Accumulatedcapital in other Non-excess of comprehensive Retained Treasury controllingpar value income earnings stock interests Total,,,
,,,,,,,,Berkshire Hathawayshareholders'equityCommonstock and Accumulatedcapital in other Non-excess of comprehensive Retained Treasury controllingpar value income earnings stock interests Total,Berkshire Hathawayshareholders'equityCommonstock and Accumulatedcapital in other Non-excess of comprehensive Retained Treasury controllingpar value income earnings stock interests Total,,,
,,,,,,,,,Berkshire Hathawayshareholders'equityCommonstock and Accumulatedcapital in other Non-excess of comprehensive Retained Treasury controllingpar value income earnings stock interests Total,excess of comprehensive,Retained Treasury,Retained Treasury
,,,,,par value income,Berkshire Hathawayshareholders'equityCommonstock and Accumulatedcapital in other Non-excess of comprehensive Retained Treasury controllingpar value income earnings stock interests Total,Berkshire Hathawayshareholders'equityCommonstock and Accumulatedcapital in other Non-excess of comprehensive Retained Treasury controllingpar value income earnings stock interests Total,Berkshire Hathawayshareholders'equityCommonstock and Accumulatedcapital in other Non-excess of comprehensive Retained Treasury controllingpar value income earnings stock interests Total,Berkshire Hathawayshareholders'equityCommonstock and Accumulatedcapital in other Non-excess of comprehensive Retained Treasury controllingpar value income earnings stock interests Total,earnings stock,earnings stock,
"Balance December 31, 2018 $ 35,715$","Balance December 31, 2018 $ 35,715$","Balance December 31, 2018 $ 35,715$","Balance December 31, 2018 $ 35,715$","Balance December 31, 2018 $ 35,715$","Balance December 31, 2018 $ 35,715$",Berkshire Hathawayshareholders'equityCommonstock and Accumulatedcapital in other Non-excess of comprehensive Retained Treasury controllingpar value income earnings stock interests Total,Berkshire Hathawayshareholders'equityCommonstock and Accumulatedcapital in other Non-excess of comprehensive Retained Treasury controllingpar value income earnings stock interests Total,Berkshire Hathawayshareholders'equityCommonstock and Accumulatedcapital in other Non-excess of comprehensive Retained Treasury controllingpar value income earnings stock interests Total,"$321,112 $ (3,109","$321,112 $ (3,109","$ 3,797","$352,500"
Net earnings,Net earnings,Net earnings,Net earnings,Net earnings,,Berkshire Hathawayshareholders'equityCommonstock and Accumulatedcapital in other Non-excess of comprehensive Retained Treasury controllingpar value income earnings stock interests Total,Berkshire Hathawayshareholders'equityCommonstock and Accumulatedcapital in other Non-excess of comprehensive Retained Treasury controllingpar value income earnings stock interests Total,"81,417","81,417",375,"81,792",
"Other comprehensive income, net","Other comprehensive income, net","Other comprehensive income, net","Other comprehensive income, net","Other comprehensive income, net",(228),Berkshire Hathawayshareholders'equityCommonstock and Accumulatedcapital in other Non-excess of comprehensive Retained Treasury controllingpar value income earnings stock interests Total,Berkshire Hathawayshareholders'equityCommonstock and Accumulatedcapital in other Non-excess of comprehensive Retained Treasury controllingpar value income earnings stock interests Total,,,30,(198),
Issuance (acquisition) of common stock,Issuance (acquisition) of common stock,Issuance (acquisition) of common stock,Issuance (acquisition) of common stock,Issuance (acquisition) of common stock,21,(5.016),(5.016),"(4,995)","(4,995)",,,
Transactions with noncontrolling interests,Transactions with noncontrolling interests,Transactions with noncontrolling interests,Transactions with noncontrolling interests,Transactions with noncontrolling interests,(70),(36),(36),(430) (536),(430) (536),,,
"Balance December 31, 2019","Balance December 31, 2019","Balance December 31, 2019","Balance December 31, 2019","Balance December 31, 2019","35,666","(8,125)","(8,125)","3,772 428,563","3,772 428,563",,,
Net earnings,Net earnings,Net earnings,Net earnings,Net earnings,,42.521,42.521,"732 43,253","732 43,253",,,
