"December 31,",2021,2020
Railroad:,"Land, track structure and other roadway","$ 65,843,$ 63,824"
Railroad:,"Locomotives, freight cars and other equipment","13,822,13,523"
Railroad:,Construction in progress,"1,027,916"
Railroad:,"80,692","78,263"
Railroad:,Accumulated depreciation,"(14,978),(13,175)"
Railroad:,"65,714","65,088"
Utilities and energy:,"Utility generation, transmission and distribution systems","90,223,86,730"
Utilities and energy:,Interstate natural gas pipeline assets,"17,423,16,667"
Utilities and energy:,Independent power plants and other assets,"13,695,12,671"
Utilities and energy:,Construction in progress,"4,196,3,308"
Utilities and energy:,"125,537","119,376"
Utilities and energy:,Accumulated depreciation,"(35,721),(33,248)"
Utilities and energy:,"89,816","86,128"
Utilities and energy:,"$ 155,530","$ 151,216"
