Accident Year,2012*,2013*,2014*,2015*,2016*,2017*,2018*,2019*,2020*,2021
2012,$,15 $,93 $ 218 $ 377,,$ 522,$ 642,$725 $789,,$ 830 $,848
2013,,15,90,219,368,518,635,743,793,821
2014,,,21,106,238,396,540,671,752,788
2015,,,,23,108,218,382,543,663,719
2016,,,,,22,115,274,461,620,712
2017,,,,,,27,128,300,457,582
2018,,,,,,,35,166,367,543
2019,,,,,,,,39,160,314
2020,,,,,,,,,34,148
2021,,,,,,,,,,36
,,,,,,,,Paid losses and ALAE,,5.511
Net unpaid losses and ALAE for 2012 - 2021 accident years,,,,,,,,,,8.080
,,,,,,,,Net unpaid losses and ALAE for accident years before 2012,,426
,,,,,,,,"Net unpaid losses and ALAE $ 8,506",,
