"Cumulative Incurred Losses and ALAE through December 31, Number of","Cumulative Incurred Losses and ALAE through December 31, Number of","Cumulative Incurred Losses and ALAE through December 31, Number of","Cumulative Incurred Losses and ALAE through December 31, Number of","Cumulative Incurred Losses and ALAE through December 31, Number of","Cumulative Incurred Losses and ALAE through December 31, Number of","Cumulative Incurred Losses and ALAE through December 31, Number of","Cumulative Incurred Losses and ALAE through December 31, Number of","Cumulative Incurred Losses and ALAE through December 31, Number of","Cumulative Incurred Losses and ALAE through December 31, Number of","Cumulative Incurred Losses and ALAE through December 31, Number of","Cumulative Incurred Losses and ALAE through December 31, Number of","Cumulative Incurred Losses and ALAE through December 31, Number of"
Accident Year,2012*,2013*,2014*,2015*,2016*,2017*,2018*,2019*,2020*,2021,IBNR and Case Development Liabilities,Reported Claims (in thousands)
2012,,,,"$1,336 $1,306 $1,277 $1,223 $1,168 $1,078 $1,035 $ 998 $ 988 $",,,,,,971 $,51,11
2013,,"1,328","1,296","1,261","1,195","1,127","1,086","1,019",985,978,62,11
2014,,,"1,370","1,375","1,305","1,246","1,218","1,127","1,061","1,033",108,11
2015,,,,"1,374","1,342","1,269","1,290","1,218","1,157","1,093",136,12
2016,,,,,"1,392","1,416","1,414","1,394","1,341","1,288",213,15
2017,,,,,,"1,466","1,499","1,495","1,474","1,382",328,21
2018,,,,,,,"1,602","1,650","1,659","1,580",495,23
2019,,,,,,,,"1,670","1,691","1,663",869,20
2020,,,,,,,,,"1,704","1,751","1,319",27
2021,,,,,,,,,,"1,852","1,672",15
,,,,,,,,,"Incurred losses and ALAE $13,591",,,
