Deferred tax liabilities: Investments – unrealized appreciation    $55,437
Deferred tax liabilities: Deferred charges reinsurance assumed    $2,234
Deferred tax liabilities: Property,"plant and equipment and equipment held for lease    $31,323"
Deferred tax liabilities: Goodwill and other intangible assets    $6,748
Deferred tax liabilities: Other    $4,094
Deferred tax liabilities: Total    $99,836
Deferred tax liabilities: Deferred tax assets: Unpaid losses and loss adjustment expenses    $(1,091)
Deferred tax liabilities: Deferred tax assets: Unearned premiums    $(990),
Deferred tax liabilities: Deferred tax assets: Accrued liabilities    $(1,868)
Deferred tax liabilities: Deferred tax assets: Regulatory liabilities    $(1,349)
Deferred tax liabilities: Deferred tax assets: Other    $(4,859)
Deferred tax liabilities: Deferred tax assets: Total    $(10,157)
Deferred tax liabilities: Net deferred tax liability    $89,679
Deferred tax assets: Unpaid losses and loss adjustment expenses    $(1,135)
Deferred tax assets: Unearned premiums    $(900),
Deferred tax assets: Accrued liabilities    $(2,193)
Deferred tax assets: Regulatory liabilities    $(1,421)
Deferred tax assets: Other    $(4,576)
Deferred tax assets: Total    $(10,225)
Deferred tax assets: Net deferred tax liability    $73,261
