Year,2012*,2013*,2014*,2015*,2016*,2017*,2018*,2019*,2020*,2021
2012,,,,,,,$116 $ 299 $ 414 $ 501 $ 560 $ 592 $611 $ 626$ 634$,,,640
2013,,177,422,609,725,793,835,858,874,884
2014,,,239,557,800,"1,007","1,111","1,176","1,214","1,245"
2015,,,,289,700,"1,017","1,289","1,488","1,570","1,648"
2016,,,,,329,775,"1,148","1,461","1,661","1,778"
2017,,,,,,441,"1,003","1,434","1,771","1,956"
2018,,,,,,,538,"1,198","1,683","2,028"
2019,,,,,,,,682,"1,478","2,022"
2020,,,,,,,,,695,"1,391"
2021,,,,,,,,,,833
,,,,,,,,Paid losses and ALAE,,"14,425"
Net unpaid losses and ALAE for 2012 - 2021 accident years,,,,,,,,,,"13,166"
,,,,,,,Net unpaid losses and ALAE for accident years before 2012,,,
,,,,,,,,"Net unpaid losses and ALAE $13,579",,413
