Fair Value,Total,Level 1,Level 2,Level 3,Investment funds and partnerships at net asset value
"December 31, 2021",$ 992,$ 901,$ 91,"$ —,$ —",
Cash and cash equivalents,,,,,
Equity securities,"11,343$","10,358$",,660$,"325,—"
Fixed maturity securities,"3,422$","2,226$",,"1,168$","28,—"
Investment funds and other,"2,863$",180$,,361$,"57,$ 2,265"
Total,"$ 18,620$","$ 13,665$","$ 2,280$",$ 410$,"$ 2,265$"
"December 31, 2020",$ 383,$ 243,$ 140,"$ —,$ —",
Cash and cash equivalents,,,,,
Equity securities,"11,383$","10,123$",,851$,"409,—"
Fixed maturity securities,"3,173$","2,214$",,926$,"33,—"
Investment funds and other,"2,999$",198$,,398$,"56,$ 2,347"
Total,"$ 17,938$","$ 12,778$","$ 2,315$",$ 498$,"$ 2,347$"
