2021,2021,2020,2019,2019
"Earnings before income taxes $ 111,686 $ 55,693","Earnings before income taxes $ 111,686 $ 55,693","Earnings before income taxes $ 111,686 $ 55,693","$ 102,696",
"Hypothetical income tax expense computed at the U.S. federal statutory rate $23,454",$23.454,"$ 11,696","21,566",
Dividends received deduction and tax-exempt interest,(457),(448),(433),）
"State income taxes, less U.S. federal income tax benefit",(417),858,494,
"U.S. income tax credits (1,860)","U.S. income tax credits (1,860)","(1,519)",(942),）
Goodwill impairments,,"1,977",20,
"Other differences, net",159,(124),199,
Effective income tax rate,"$ 20,879","$ 12,440","$ 20,904",
Effective income tax rate,18.7%,22.3%,20.4%,%
