Accident 2012*,Accident 2012*,Accident 2012*,Accident 2012*,Accident 2012*,Accident 2012*,Accident 2012*,2018* 2019* 2020*,2018* 2019* 2020*,2018* 2019* 2020*,2018* 2019* 2020*,2018* 2019* 2020*
Year 2012,$,"2013* $259 $1,218","2014* $ 1,796","2015* $ 1,934",2016* $ 2.022,2017* $2.097,"$ 2,117","$ 2,162","$ 2,180",2021 $ 2.201,
2013,,515,"1,424","1,863",2.060,"2,180","2,260",2.300,"2,328",2.352,
2014,,,465,"1,234","1,555","1,693","1,758","1,808","1,838","1,860",
2015,,,,577,"1,596","1,946","2,141","2,245","2,427",2.510,
2016,,,,,705,"1,794","2,186","2,647",2.899,3.083,
2017,,,,,,"1,025",2.712,3.633,"3.,944","4,163",
2018,,,,,,,907,"2,310","2,831","3,061",
2019,,,,,,,,748,"2,247","2,830",
2020,,,,,,,,,,,
2021,,,,,,,,,956,2.882,
,,,,,,,,Paid losses and ALAE,,"1,214",
,,,,Net unpaid losses and ALAE for 2012 - 2021 accident years,,,,,,"26,156 12,718",
,,,,,,,,Net unpaid losses and ALAE for accident years before 2012,,,
,,,,,,,,"Net unpaid losses and ALAE $13,119",,401,
