/s/,WARREN E. BUFFETT,Chairman of the Board of,Directors,"February 26, 2022"
/s/,WARREN E. BUFFETT,Warren E. Buffett,Directors,"Chief Executive Officer,February 26, 2022"
/s/,GREGORY E. ABEL,Director,Directors,"Vice Chairman—Non-Insurance Operations,February 26, 2022"
/s/,HOWARD G. BUFFETT,Director,Directors,"February 26, 2022"
/s/,SUSAN A. BUFFETT,Director,Directors,"February 26, 2022"
/s/,STEPHEN B. BURKE,Director,Directors,"February 26, 2022"
/s/,KENNETH I. CHENAULT,Director,Directors,"February 26, 2022"
/s/,CHRISTOPHER C. DAVIS,Director,Directors,"February 26, 2022"
/s/,SUSAN L. DECKER,Director,Directors,"February 26, 2022"
/s/,DAVID S. GOTTESMAN,Director,Directors,"February 26, 2022"
/s/,CHARLOTTE GUYMAN,Director,Directors,"February 26, 2022"
/s/,AJIT JAIN,Director—Vice Chairman—Insurance Operations,Directors,"February 26, 2022"
/s/,CHARLES T. MUNGER,Director—Vice Chairman,Directors,"February 26, 2022"
/s/,RONALD L. OLSON,Director,Directors,"February 26, 2022"
/s/,MERYL B. WITMER,Director,Directors,"February 26, 2022"
/s/,MARC D. HAMBURG,Senior Vice President—Principal Financial Officer,Directors,"February 26, 2022"
/s/,DANIEL J. JAKSICH,Vice President—Principal Accounting Officer,Directors,"February 26, 2022"
