Shares,Company,Percentage of Company Owned,Cost*,Market
151610700,American Express Company,19.9,1287,24804
907559761,Apple Inc.,5.6,31089,161155
1032852006,Bank of America Corp.,12.8,14631,45952
66835615,The Bank of New York Mellon Corp.,8.3,2918,3882
225000000,BYD Co. Ltd.**,7.7,232,7693
3828941,"Charter Communications, Inc.",2.2,643,2496
38245036,Chevron Corporation,2.0,3420,4488
400000000,The Coca-Cola Company,9.2,1299,23684
52975000,General Motors Company,3.6,1616,3106
89241000,ITOCHU Corporation,5.6,2099,2728
81714800,Mitsubishi Corporation,5.5,2102,2593
93776200,"Mitsui & Co., Ltd.",5.7,1621,2219
24669778,Moody's Corporation,13.3,248,9636
143456055,U.S. Bancorp,9.7,5384,8058
158824575,Verizon Communications Inc.,3.8,9387,8253
,Others***,26629,39972,
,Total Equity Investments Carried at Market,104605,350719,
