Paragrafo,Riferimento,Parametro nazionale - valore o prescrizione-,
- 2.3.1.2(1),Nota,Si adottano i valori racomandeti (vedi ncta al $2.3.1.2 e_prospetto 2.2 deli'ENi99s-1-1). Le azioni durante l'esozione si assmone di breve durata come raccomandato.,Si adottano i valori racomandeti (vedi ncta al $2.3.1.2 e_prospetto 2.2 deli'ENi99s-1-1). Le azioni durante l'esozione si assmone di breve durata come raccomandato.
-2.4.1,Nota,Si adotano i vaori dei coefiiet della tabella segtnte,Si adotano i vaori dei coefiiet della tabella segtnte
-2.4.1,Nota,Stati Himite ultii,y
-2.4.1,Nota,Legno e derivati,
-2.4.1,Nota,- combinazioni fondamentali,
-2.4.1,Nota,legpo massiecio,-1.50
-2.4.1,Nota,legno lamellare incollato,1.45
-2.4.1,Nota,pannelli di particelle o di fibre,-1.50
-2.4.1,Nota,"compensato, panneli di scaglie orientate",1.40
-2.4.1,Nota,- stato lirnite di fatica,Y-1.00
Uniont,,,
- combinazioni fondamentali,1.50,,
- stato limite di fatica,1.00,,
Acciaio usato in elementi composti,-1.15,,
Calcestruzso sato in elementi composti,-1.50,,
calcegtruzzo,Unloniiaglio inelement composf legno-,,
- combinazioni fondamentali,,1.25,
,- stato limite di fatica,",1.00",
,Combinaztoni eccerionpl,=1.00,
-7.2 7.3.1(2),Nota,Si adottano i valori di inflessione limite raccomndati della tabell& 7.1.,Si adottano i valori di inflessione limite raccomndati della tabell& 7.1.
,Nota I peimental.,"Valori del eoeficiente di srsorzsmento diversi da qoclli indicati possone tere adotati per specifche struure,previa adeguatn giustifcazione su base","Valori del eoeficiente di srsorzsmento diversi da qoclli indicati possone tere adotati per specifche struure,previa adeguatn giustifcazione su base"
Utilizzo appendici informative,Utilizzo appendici informative,Le Appendiei informative A s B mantengono il carattere informativo.,Le Appendiei informative A s B mantengono il carattere informativo.
