,Completed,Location,Storys,Public building？,Timber features
The Good Shed,2011,"Southbank,Melbourne",2,Y,LVLbox trusssystemand I-joists
Forte,2012,"Docklands,Melbourne",10,N,"Full CLT design, honeycomb construction"
The Green,2013,"Parkville,Melbourne",6,N,"TecBeam,LVL Cassette flooring systemwith light timber framing"
Library at the Dock,2013,"Docklands,Melbourne",2,Y,CLT and Glulam
Netball Central,2014,Sydney,1,Y,40 m clear span LVL portal
International House,2017,"Barangaroo, Sydney",6,Y,"CLT,Glulam and glass curtain wall system"
Monash University Business School,2017,"Caulfield,Melbourne",4,N,CLT vertical extension on top of anexisting concrete structure.
Aveo Norwest,2018,"Hills Shire, Sydney",10,Y,"CLT structure comprising a multifunction center,library, restaurant and cafe,wellness center,and 449 independent livingunits over 1O buildings"
"The Gardens, McAuthor",2018,"Campbelltown, Sydney 6,7,and 8",,N,"and a144 bed residential aged care facility Full CLT design, honeycomb construction"
"CLT,cross-laminated timber;LVL, laminated veneer lumber.",,,,,
