Building name,Completed,Location,Stories,Public building?,Timber features
Waitomo Caves Visitor Center,2009,Waitomo,1,Y,LVL grid-shell structure
NMIT Arts and Media Building,2010,"Hardy Street, Nelson",3,Y,"Posttensioned LVL shear walls, LVL gravity frames, and timber floors"
Events Center,2011,Carterton,2,Y,LVL long-span truss and LVL posttensioned shear walls
MOTAT Aviation Display Hall,2011,Auckland,1,Y,LVL portal
Massey University COCA Building,2012,Wellington,3,Y,Posttensioned LVL beams and columns.
Tumu ITM,2012,Napier,1,N,LVL portal frames
Merritt Building,2013,"Victoria Street, Christchurch",3,N,Posttensioned LVL beams and columns
Trimble Building,2014,"Birmingham Drive, Christchurch",2,N,Posttensioned LVL shear walls and columns.
Lucas House,2014,"Halifax Street, Nelson",2,N,LVL timber gravity frames
The Warehouse,2014,Richmond,2,N,CLT LVL shear walls and LVL timber gravity frames
Wynn Williams Building,2015,"Montreal Street, Christchurch",6,N,Posttensioned LVL beams (posttensioned concrete columns)
Tait Communications Building,2015,"Roydvale Street, Christchurch",2,N,LVL timber gravity frames
Bealey Avenue Backpackers,2015,"Bealey Avenue, Christchurch",2,N,CLT honeycomb structure and LVL beams
ACC Building,2015,Rotorua,2,Y,"CLT tilt slabs, LVL beams and columns, and CLT floors"
Bed Bath and Beyond,2015,Richmond,1,N,"CLT/LVL shear walls, LVL timber gravity frames, and composite concrete/LVL floor system"
Mt Pleasant Center,2016,"Mt Pleasant, Christchurch",1,Y,"LVL folded wave"" structure"""
Kaikoura Museum,2016,Kaikoura,3,Y,"CLT/LVL shear walls, LVL post and beam gravity frames, and LVL floors"
"Kahukura Building, Te Ara",2017,"Moorhouse Avenue, Christchurch",4,Y,LVL timber gravity frames and CLT façade.
