Table 2.Rccently completcd mass timber buildings in Ncw Zcaland.,Table 2.Rccently completcd mass timber buildings in Ncw Zcaland.,Table 2.Rccently completcd mass timber buildings in Ncw Zcaland.,Table 2.Rccently completcd mass timber buildings in Ncw Zcaland.,Table 2.Rccently completcd mass timber buildings in Ncw Zcaland.,Table 2.Rccently completcd mass timber buildings in Ncw Zcaland.
Building name,Completed,Location,Storys,building？,Timber features
Waitomo Caves Visitor Center,2009,Waitomo,1,Y,LVL grid-shell structure
NMITArtsand Mcdia Building,2010,"Hardy Strect, Nelson",3,Y,"Posttensioncd LVL shcar walls,LVL gravityframcs,and timber floors"
Events Center,2011,Carterton,2,Y,LVL long-span truss and LVL posttensioncd shear walls
MOTATAviation Display Hall,2011,Auckland,1,Y,LVL portal
Masscy Univcrsity COCA Building,2012,Wcllington,3,Y,Posttensioncd LVL beams and columns.
Tumu ITM,2012,Napicr,1,N,LVL portal frames
Merritt Building,2013,"Victoria Strect, Christchurch",3,N,Posttensioncd LVL beamsand columns
Trimble Building,2014,Birmingham Drivc Christchurch,2,N,Posttensioncd LVL shear walls and columns.
Lucas Housc,2014,"Halifax Strcct,Nelson",2,N,LVL timber gravity frames
The Warchousc,2014,Richmond,2,N,CLTLVL shearwallsandLVL timber gravity framcs
Wynn Williams Building,2015,"Montreal Strect, Christchurch",6,N,Posttensioncd LVL beams (posttensioncd concrcte columns)
Tait Communications Building,2015,"Roydvale Strect, Christchurch",2,N,LVL timbcr gravity framcs
Bealcy Avenuc Backpackers,2015,"Bealcy Avenuc, Chrischurch",2,N,CLT honcycomb structure and LVL beams
ACC Building,2015,Rotorua,2,Y,"CLT tilt slabs, LVL beams and columns, and CLT floors"
Bed Bath and Beyond,2015,Richmond,,N,"CLT/LVL shear walls,LVL timber gravity framcs,and composite concretc/LVL floor system"
Mt Pleasant Centcr,2016,"MtPleasant,Christchurch",1,Y,"LVL“folded wave""structure CLT/LVL shear walls, LVL post and"
Kaikoura Muscum,2016,Kaikoura,3,Y,"beamgravity framcs,andLVLfloors"
"Kahukura Building, Tc Ara",2017,"Moorchousc Avenuc, Christchurch",4,Y,LVL timbcr gravity framcsand CLT facade.
