Task Type,Fulfills,Partially fulfills,Does not fulfill,Fulfills,Partially fulfills,Does not fulfill,Fulfills,Partially fulfills,Does not fulfill
Advice,69.2%,26.2%,4.7%,42.1%,56.1%,1.9%,43.9%,48.6%,7.5%
Article,59.4%,37.5%,3.1%,40.6%,53.1%,6.3%,62.5%,37.5%,0.0%
Brainstorming,57.9%,36.4%,5.6%,33.3%,61.5%,5.1%,47.7%,47.2%,5.1%
Comparison,60.4%,34.7%,5.0%,47.5%,46.5%,5.9%,43.6%,44.6%,11.9%
Explanation,53.0%,37.7%,9.3%,33.8%,61.6%,4.6%,41.7%,50.3%,7.9%
How-to,52.7%,40.5%,6.9%,43.5%,52.7%,3.8%,48.1%,41.2%,10.7%
Hypothetical,55.9%,39.0%,5.1%,39.0%,47.5%,13.6%,42.4%,44.1%,13.6%
Identification,55.7%,33.0%,11.3%,33.0%,66.0%,1.0%,35.1%,55.7%,9.3%
Other,41.8%,40.0%,18.2%,38.2%,41.8%,20.0%,50.9%,40.0%,9.1%
Reasoning,50.0%,13.6%,36.4%,27.3%,59.1%,13.6%,31.8%,54.5%,13.6%
Report,49.1%,40.4%,10.5%,29.8%,61.4%,8.8%,38.6%,47.4%,14.0%
Story,31.7%,63.4%,4.9%,39.0%,56.1%,4.9%,53.7%,43.9%,2.4%
