Task Type,Fulfills,Gemini Partially fulfills,Does not,Fulfills,GPT-4V Partially fulfills,Does not fulfill
Advice,21.5%,70.1%,fulfill 8.4%,23.4%,75.7%,0.9%
Article,12.5%,84.4%,3.1%,9.4%,90.6%,0.0%
Brainstorming,18.5%,71.8%,9.7%,27.2%,66.7%,6.2%
Comparison,14.9%,76.2%,8.9%,19.8%,72.3%,7.9%
Explanation,15.2%,78.1%,6.6%,19.9%,77.5%,2.6%
How-to,19.8%,74.0%,6.1%,31.3%,67.2%,1.5%
Hypothetical,30.5%,49.2%,20.3%,32.2%,61.0%,6.8%
Identification,18.6%,75.3%,6.2%,22.7%,68.0%,9.3%
Other,14.5%,60.0%,25.5%,18.2%,67.3%,14.5%
Reasoning,9.1%,77.3%,13.6%,13.6%,81.8%,4.5%
Report,12.3%,77.2%,10.5%,22.8%,68.4%,8.8%
Story,9.8%,82.9%,7.3%,7.3%,90.2%,2.4%
