"Title of each class","Trading Symbols","Name of each exchange on which registered"
"Class A Common Stock","BRK.A","New York Stock Exchange"
"Class B Common Stock","BRK.B","New York Stock Exchange"
"0.750% Senior Notes due 2023","BRK23","New York Stock Exchange"
"1.125% Senior Notes due 2027","BRK27","New York Stock Exchange"
"1.625% Senior Notes due 2035","BRK35","New York Stock Exchange"
"1.300% Senior Notes due 2024","BRK24","New York Stock Exchange"
"2.150% Senior Notes due 2028","BRK28","New York Stock Exchange"
"0.625% Senior Notes due 2023","BRK23A","New York Stock Exchange"
"0.000% Senior Notes due 2025","BRK25","New York Stock Exchange"
"2.375% Senior Notes due 2039","BRK39","New York Stock Exchange"
"0.500% Senior Notes due 2041","BRK41","New York Stock Exchange"
"2.625% Senior Notes due 2059","BRK59","New York Stock Exchange"
