```csv
"Accident Year","2012*","2013*","2014*","2015*","2016*","2017*","2018*","2019*","2020*","2021","Paid losses and ALAE","Net unpaid losses and ALAE for 2012 - 2021 accident years","Net unpaid losses and ALAE for accident years before 2012","Net unpaid losses and ALAE"
"2012",308,747,1139,1368,1525,1650,1750,1810,1868,1906,12212,14923,8688,23611
"2013",290,519,805,933,1037,1139,1199,1256,1290,1290,12212,14923,8688,23611
"2014",149,477,642,752,874,959,1103,1147,1147,1147,12212,14923,8688,23611
"2015",196,489,713,833,924,1014,1088,1088,1088,1088,12212,14923,8688,23611
"2016",253,555,732,862,960,1043,1043,1043,1043,1043,12212,14923,8688,23611
"2017",230,564,819,1269,1376,1376,1376,1376,1376,1376,12212,14923,8688,23611
"2018",265,867,1639,1909,1909,1909,1909,1909,1909,1909,12212,14923,8688,23611
"2019",353,896,1176,1176,1176,1176,1176,1176,1176,1176,12212,14923,8688,23611
"2020",404,970,970,970,970,970,970,970,970,970,12212,14923,8688,23611
"2021",307,307,307,307,307,307,307,307,307,307,12212,14923,8688,23611
```
