Jurisdiction,Type of Law,Citation,URL
Argentina,Statute,Ley No. 3.852 de 29 de julio de 2004 de la Provincia de Rio Negro,https://perma.cc/HR32-EEEP
Argentina,Statute,"Ley No. 24.742 del 27 de noviembre de 1996, Sistema Público de Salud",https://perma.cc/9QKR-WMKN
Argentina,Statute,"Ley No. 25.392 de 30 Noviembre de 2000, Registro Nacional de Donantes de Células Progenitoras Hematopoyeticas",https://perma.cc/U9BQ-3522
Argentina,Statute,"Ley No. 25.467 de 29 de agosto de 2001, Sistema Nacional de Ciencia, Tecnología e Innovación",https://perma.cc/XC52-CH2Y
Argentina,Statute,"Ley No. 26.879 de 3 de julio de 2013, Créase el Registro Nacional de Datos Genéticos",https://perma.cc/VK95-5PEL
Argentina,Statute,"Ley No. 5.165 de 1 de septiembre de 2005 de la Provincia de Catamarca, Garantía y Resguardo del Derecho a la Dignidad, Identidad e Integración de Todas las Personas en Relación a su Patrimonio Genético",https://perma.cc/AE53-PTMM
Argentina,Statute,Ley No. 5.228 de 10 de octubre de 2004 de la Provincia de Chubut,https://perma.cc/9H24-62EA
Argentina,Statute,Ley No. 6.196 de 2008 de la Provincia de Chaco,https://perma.cc/23FR-LXSW
Argentina,Statute,"Ley No. 649 de 18 de noviembre de 2004 de la Provincia de Tierra del Fuego, Adhesión de la Provincia a la Ley Nacional No. 25.392, sobre Registro Nacional de Donantes de Células Progenitoras Hematopoyeticas",https://perma.cc/Q589-CR8E
Argentina,Statute,"Ley No. 712 de 29 de noviembre de 2001 de la Ciudad Autónoma de Buenos Aires, de Garantías del Patrimonio Genético Humano",https://perma.cc/EFY9-M3LH
