Jurisdiction,Type of Law,Citation,URL
Argentina,Statute,Ley No. 3.852 de 29 de julio de 2004 de la Provinciade Rio Negro,https://perma.cc/HR32-EEEP
Argentina,Statute,"Ley No. 24.742 del 27 de noviembre de 1996,Sistema Publico de Salud",https:/ /perma.cc/9QKR-WMKN
Argentina,Statute,"Ley No.25.392 de 30 Noviembre de 2000, RegistroNacional de Donantes de Células ProgenitorasHematopoyeticas",https:// perma.cc/U9BQ-3522
Argentina,Statute,"Ley No. 25.467 de 29 de agosto de 2001, SistemaNacional de Ciencia, Tecnologia e Innovaci6n",https:/ / perma.cc/XC52-CH2Y
Argentina,Statute,"Ley No. 26.879 de 3 de julio de 2013, Créase elRegistro Nacional de Datos Genéticos",https:// perma.cc/VK95-5PEL
Argentina,Statute,"Ley No. 5.165 de 1 de septiembre de 2005 de laProvincia de Catamarca, Garantia y Resguardo delDerecho a la Dignidad, Identidad e Integracion de Todas las Personas en Relaci6n a su PatrimonioGenético",https://perma.cc/AE53-PTMM
Argentina,Statute,Ley No. 5.228 de 10 de octubre de 2004 de laProvincia de Chubut,https:// perma.cc/9H24-62EA
Argentina,Statute,Ley No. 6.196 de 2008 de la Provincia de Chaco,https://perma.cc/23FR-LXSW
Argentina,Statute,"Ley No. 649 de 18 de noviembre de 2004 de laProvincia de Tierra del Fuego,Adhesión de laProvincia a la Ley Nacional No. 25.392, sobreRegistro Nacional de Donantes de Células Progenitoras Hematopoyeticas",https://perma.cc/Q589-CR8E
Argentina,Statute,"Ley No.712 de 29 de noviembre de 2001 de laCiudad Autónoma de Buenos Aires, de Garantiasdel Patrimonio Genético Humano",https://perma.cc/EFY9-M3LH
,,"Ley No. 8.953 de 19 de septiembre de 2001 de laProvincia de Cordoba, Inviolabilidad del GenomaHumano-Establecimiento y Garantizaci6n en laProvincia--Prohibiciones y Sanciones",https:/ / perma.cc/RGD9-KAJ9
,Presidential Decree,"Decreto No. 200 de 8 de marzo de 1997, Prohibenselos Experimentos de Clonación Relacionados conSeres Humanos",https:/ /perma.cc/4PSR-JCYC
,Regulatory Decree,"Decreto Reglamentario No. 267, sobre el RegistroNacional de Donantes de Celulas creados por LeyNo. 25.392 de 13 de febrero de 2003",https:// perma.cc/JF8Q-342Q
Brazil,Constitution,Constituicao Federal,https://perma.cc/D8KL-2TYJ
Brazil,Statute,"Lei No. 9,434, de 4 de Fevereiro de 1997",https://perma.cc/WP43-QU96
Brazil,Statute,"Lei No. 10.973, de 2 de Dezembro de 2004, asamended by Lei No.13.243, de 11 de Janeiro de2016",https:// perma.cc/3JRM-669G
Brazil,Statute,Lei No. 11.105 de 24 de Marco de 2005,https://perma.cc/3C32-R4YL
Brazil,Presidential Decree,"Decreto No. 5.591, de 22 de Novembro de 2005",https://perma.cc/66LM-PWJQ
Brazil,Regulation,"ANVISA, Resolucao No. 9, de 14 de Marco de 2011",https://perma.cc/3D4Z-QA4W
Brazil,Regulation,"ANVISA, Resolucao RDC No. 23, de 27 de Maio de2011",https:/ /perma.cc/879S-96VG
Brazil,Regulation,"ANVISA, Resolucao RDC No. 29, de 12 de Maio de2008",https://perma.cc/37WS-LXVX
Brazil,Regulation,"ANVISA, Resolucao RDC No. 33, de 17 deFevereiro de 2006",https:// perma.cc/4CTR-EKJ9
Brazil,Regulation,"ANVISA, Resolugao RDC No. 214, de 7 deFevereiro de 2018",https:// perma.cc/J5T2-KEBX
Brazil,Regulation,"ANVISA, Resolugao RDC No. 508, de 27 de Maiode 2021",https://perma.cc/3WM2-4ZM2
Brazil,Regulation,"ANVISA, Resolugao RDC No. 771, de 26 deDezembro de 2022",https:// perma.cc/7VKE-WPBW
Brazil,Regulation,"CNS, Resolucao No. 400, de 17 de Abril de 2008",https://perma.cc/4JVF-XFKL
Brazil,Regulation,"CNS, Resolucao No. 466, de 12 de Dezembro de2012",https:// perma.cc/4C33-55VS
,,"Ministério da Saude,Portaria No. 2.526, de 21 deDezembro de 2005",https://perma.cc/2BU7-6EKF
,Bill ofLaw,"Senado Federal,Projeto de Lei No. 5.153, de 2020",https://perma.cc/NQ7F-FBGW
Chile,Statute,"DFL No.725 de 1968, C6digo Sanitario",https://perma.cc/V4QB-MB27
Chile,Statute,"Ley No. 20.120 de 2006, Sobre la InvestigaciónCientifica en el Ser Humano, su Genoma, y Prohibe la Clonaci6n Humana",https://perma.cc/W76D-JVHE
Chile,Statute,"Ley No. 20.584 de 2012, Regula los Derechos yDeberes que Tienen las Personas en Relación a suAtención en Salud",https:/ / perma.cc/WL99-RTW2
Chile,Executive Order,"Norma Técnica No. 57, Regulación de la Ejecuciónde Ensayos Clinicos que Utilizan ProductosFarmacéuticos en Seres Humanos (Ministerio deSalud, 2001)",https:/ /perma.cc/48QS-Z3P2
