Model,MAVEN-ERE Micro-F1 (%),MAVEN-ERE LI (%) ↓,Causal-TimeBank Micro-F1 (%),Causal-TimeBank LI (%) ↓
Turbo,w. all logical constraints,20.8,30.9,"20.0,36.8"
,w. retrieved logical constraints,22.3,30.2,"22.0,11.3"
,w. post-processing,14.0,0,"15.0,0"
Davinci,w. all logical constraints,27.0,25.6,"31.0,21.8"
,w. retrieved logical constraints,27.8,30.8,"22.0,40.5"
,w. post-processing,14.8,0,"19.0,0"
GPT-4,w. all logical constraints,37.3,8.3,"26.0,20.0"
,w. retrieved logical constraints,33.5,28.8,"24.0,13.5"
,w. post-processing,17.0,0,"19.0,0"
Vicuna,w. all logical constraints,15.2,37.6,"11.0,23.5"
,w. retrieved logical constraints,15.7,33.2,"10.0,26.7"
,w. post-processing,9.8,0,"9.0,0"
Llama2,w. all logical constraints,19.5,34.6,"10.0,23.5"
,w. retrieved logical constraints,18.3,38.2,"9.5,26.7"
,w. post-processing,12.0,0,"9.5,0"
