If Relation(A,B),Then Relation(A,B),Then Relation(B,A)
COREREFERENCE,"¬TEMPORAL,¬CAUSAL,¬SUBEVENT",COREREFERENCE,,,
¬TEMPORAL,"¬CAUSAL,¬SUBEVENT",/,,,
BEFORE,"¬COREREFERENCE,¬SUBEVENT",¬TEMPORAL,,,
OVERLAP,"¬COREREFERENCE,¬SUBEVENT",¬TEMPORAL,,,
CONTAINS,"¬COREREFERENCE,¬CAUSAL",¬TEMPORAL,,,
SIMULTANEOUS,"¬COREREFERENCE,¬CAUSAL,¬SUBEVENT",SIMULTANEOUS,,,
ENDS-ON,"¬COREREFERENCE,¬CAUSAL,¬SUBEVENT",¬TEMPORAL,,,
BEGINS-ON,"¬COREREFERENCE,¬CAUSAL,¬SUBEVENT",BEGINS-ON,,,
CAUSE,"¬COREREFERENCE, BEFORE ∨ OVERLAP, ¬SUBEVENT",¬TEMPORAL,,,
PRECONDITION,"¬COREREFERENCE, BEFORE ∨ OVERLAP, ¬SUBEVENT",¬TEMPORAL,,,
SUBEVENT,"¬COREREFERENCE, CONTAINS ¬CAUSAL",¬TEMPORAL,,,
