"If Relation(A,B)","Then Relation (A,B)","Then Relation (B,A)"
COREFERENCE,"-TEMPORAL,-CAUSAL,-SUBEVENT",COREFERENCE
-TEMPORAL,"-CAUSAL,-SUBEVENT",/
BEFORE,"-COREFERENCE,-SUBEVENT",-TEMPORAL
OVERLAP,"-COREFERENCE,-SUBEVENT",-TEMPORAL
CONTAINS,"-COREFERENCE,-CAUSAL",-TEMPORAL
SIMULTANEOUS,"-COREFERENCE,-CAUSAL,-SUBEVENT",SIMULTANEOUS
ENDS-ON,"-COREFERENCE,-CAUSAL，-SUBEVENT",-TEMPORAL
BEGINS-ON,"-COREFERENCE,-CAUSAL,-SUBEVENT",BEGINS-ON
CAUSE,"-COREFERENCE,BEFOREVOVERLAP,-SUBEVENT",-TEMPORAL
PRECONDITION,"-COREFERENCE,BEFOREVOVERLAP,-SUBEVENT",-TEMPORAL
SUBEVENT,"-COREFERENCE,CONTAINS-CAUSAL",-TEMPORAL
