```csv
Issue addressed(in euros),2021,"% 2021",2020,"% 2020",2019,"% 2019",2018,"% 2018",Total 2018-2021
Education,7278201,12%,7518126,11%,8501897,17%,7468318,16%,30766542
Health,3261939,5%,24198243,34%,2798355,6%,3861618,8%,34120154
Economic development,3293301,5%,1220854,2%,1304020,3%,1610820,4%,7428995
Environment,5594131,9%,4680860,7%,5446742,11%,3586327,8%,19308060
Arts and culture,1079312,2%,988654,1%,1221122,3%,870924,2%,4160012
Social welfare,19019444,31%,21506246,30%,19646921,40%,19098184,42%,79270795
Emergency relief,22693705,36%,10522239,15%,9681616,20%,9044621,20%,51942181
Others,0,0%,0,0%,0,0%,46883,0%,46883
Total,62220033,100%,70635222,100%,48600673,100%,45587697,100%,227043625
```
