```
Country,Description of the Model,Regulation or Reference Standard,Status
Spain,"Criminal risk prevention model","Art. 31a, Criminal Code","Implemented"
France,"Anti-corruption model","Loi Sapin II","Implemented"
Ireland & ITX RE,"Anti-corruption model","Criminal Justice Act","Implemented"
United Kingdom,"Anti-corruption model","UK Bribery Act","Implemented"
Italy,"Crime prevention model","D.Lgs. 231/2001 - Responsabilità amministrativa da reato","Implemented"
Turkey (ongoing),"Anti-corruption model","Criminal Code | Anticorruption guidelines","Implementation in progress"
Russia (ongoing),"Anti-corruption model","Criminal Code | Anticorruption guidelines","Implementation in progress"
Mexico,"Anti-corruption model","Federal Penal Code, Penal Code of Mexico City, National Code of Criminal Procedures and the General Law of Administrative Responsibilities","Implemented"
Brazil (ongoing),"Anti-corruption model","Criminal Code and Anti-Corruption Law 12846/2013","Implementation in progress"
```
