Congress,LegislationNumber,Title,URL
117th Congress(2021-2022),H.R. 5657,Medical Marijuana Research Act,https:/ / www.congress.gov/bill/117th-congress/house-bill/5657
117th Congress(2021-2022),H.R. 3617,MORE Act of 2021,https://www.congress.gov/bill/117th-congress/house-bill/3617
117th Congress(2021-2022),H.R. 2864,Clean Slate Act of 2021,https:/ /www.congress.gov/bill/117th-congress/house-bill/2864
117th Congress(2021-2022),S.1380,Clean Slate Act of 2021,https:/ /www.congress.gov/bill/117th-congress/senate-bill/1380
117th Congress(2021-2022),H.R. 2830,GRAM Act,https:/ /www.congress.gov/bill/117th-congress/house-bill/2830
117th Congress(2021-2022),H.R.365,Marijuana 1-to-3 Act of 2021,https:/ /www.congress.gov/bill/117th-congress/house-bill/365
116th Congress(2019-2020),H.R. 4323,Marijuana 1-to-3 Act of 2019,https:/ /www.congress.gov/bill/116th-congress/house-bill/4323
116th Congress(2019-2020),H.R. 3884,MORE Act of 2020,https:/ /www.congress.gov/bill/116th-congress/house-bill/3884
116th Congress(2019-2020),S. 2227,MORE Act of 2019,https:/ /www.congress.gov/bil/116th-congress/senate-bill/ 2227
116th Congress(2019-2020),H.R. 3754,"To amend the ControlledSubstances Act to provide for anew rule regarding the applicationof the Act to marihuana, and forother purposes.",https:// www.congress.gov/bi/116th-congress/house-bill/3754
116th Congress(2019-2020),H.R. 3546,State Cannabis Commerce Act,https:// www.congress.gov/bil/116th-congress/house-bill/3546
116th Congress(2019-2020),H.R. 3544,Homegrown Act of 2019.,https:// www.congress.gov/bil/116th-congress/house-bill/3544
116th Congress(2019-2020),S. 2032,Cannabidiol and MarihuanaResearch Expansion Act,https:/ / www.congress.gov/bil/116th-congress/senate-bill/ 2032
116th Congress(2019-2020),S. 2030,State Cannabis Commerce Act,https:// www.congress.gov/bill/116th-congress/senate-bil/2030
116th Congress(2019-2020),H.R. 2843,Marijuana Freedom andOpportunity Act,https://www.congress.gov/bill/116th-congress/house-bill/2843
116th Congress(2019-2020),S. 1552,Marijuana Freedom andOpportunity Act,https:// www.congress.gov/bill/116th-congress/senate-bill/1552
116th Congress(2019-2020),H.R. 2348,Clean Slate Act of 2019,https:// www.congress.gov/bill/116th-congress/house-bill/2348
116th Congress(2019-2020),H.R. 2093,STATES Act,https:/ / www.congress.gov/bill/116th-congress/house-bill/2093
116th Congress(2019-2020),S.1028,STATES Act,https:/ /www.congress.gov/bill/116th-congress/senate-bill/1028
116th Congress(2019-2020),H.R. 2071,Second Amendment Protection Act 6th-congress/house-bill/2071,https:// www.congress.gov/bill/11Second Amendment Protection Act 6th-congress/house-bill/2071
116th Congress(2019-2020),H.R. 2012,Respect States' and Citizens' Rights https://www.congress.gov/bill/11Act of 2019,Respect States' and Citizens' Rights https://www.congress.gov/bill/116th-congress/house-bill/2012
116th Congress(2019-2020),H.R. 1893,Next Step Act of 2019,https:/ / www.congress.gov/bil/116th-congress/house-bill/1893
116th Congress(2019-2020),H.R. 1588,Ending Federal MarijuanaProhibition Act of 2019,https:/ / www.congress.gov/bil/116th-congress/house-bill/1588
116th Congress(2019-2020),S. 697,Next Step Act of 2019,https:/ / www.congress.gov/ bil/116th-congress/senate-bill/697
116th Congress(2019-2020),H.R. 1456,Marijuana Justice Act of 2019,https:// www.congress.gov/bill/116th-congress/house-bill/1456
116th Congress(2019-2020),S.597,Marijuana Justice Act of 2019,https:/ / www.congress.gov/bill/116th-congress/senate-bill/597
116th Congress(2019-2020),H.R. 1119,Responsibly Addressing theMarijuana Policy Gap Act of 2019,https:/ /www.congress.gov/bill/116th-congress/house-bill/1119
116th Congress(2019-2020),S. 421,Responsibly Addressing theMarijuana Policy Gap Act of 2019,https://www.congress.gov/bill/116th-congress/senate-bill/421
116th Congress(2019-2020),H.R. 493,Sensible Enforcement of CannabisAct of 2019,https://www.congress.gov /bil/116th-congress/house-bill/493
116th Congress(2019-2020),H.R. 420,Regulate Marijuana Like AlcoholAct,https:/ / www.congress.gov/ bil/116th-congress/house-bill/420
116th Congress(2019-2020),H.R. 127,CARERS Act of 2019,https:/ /www.congress.gov/bill/116th-congress/house-bill/127
115th Congress(2017-2018),H.R. 6677,Clean Slate Act of 2018,https:/ / www.congress.gov/bill/115th-congress/house-bill/6677
115th Congress(2017-2018),H.R. 6669,Clean Slate Act of 2018,https://www.congress.gov/bill/115th-congress/house-bill/ 669
115th Congress(2017-2018),S.3174,Marijuana Freedom andOpportunity Act,https:/ / www.congress.gov/bill/115th-congress/senate-bill/3174
115th Congress(2017-2018),H.R. 6043,STATES Act,https:/ / www.congress.gov/bil/115th-congress/house-bill/6043
115th Congress(2017-2018),S.3032,STATES Act,https:/ / www.congress.gov/bill/115th-congress/senate-bill/3032
115th Congress(2017-2018),H.R. 5050,Sensible Enforcement of CannabisAct of 2018,https:/ /www.congress.gov /bill/115th-congress/house-bill/5050
115th Congress(2017-2018),H.R. 4825,MEDS Act,https:/ / www.congress.gov/bil/115th-congress/house-bill/4825
115th Congress(2017-2018),H.R. 4816,Stop Civil Asset Forfeiture Fundingfor Marijuana Suppression Act of2018,https:/ / www.congress.gov/bill/115th-congress/house-bill/4816
115th Congress(2017-2018),H.R. 4815,Marijuana Justice Act of 2018,https:/ / www.congress.gov/bill/115th-congress/house-bill/4815
115th Congress(2017-2018),S.1803,MEDS Act,https:/ / www.congress.gov/bill/115th-congress/senate-bill/1803
115th Congress(2017-2018),S.1764,CARERS Act of 2017,https:/ /www.congress.gov/bill/115th-congress/senate-bill/1764
115th Congress(2017-2018),S.1689,Marijuana Justice Act of 2017,https:/ / www.congress.gov/bill/115th-congress/senate-bill/1689
115th Congress(2017-2018),H.R. 3534,State Marihuana And RegulatoryTolerance Enforcement Act,https:/ /www.congress.gov/bil/115th-congress/house-bill/3534
115th Congress(2017-2018),H.R. 3530,Industrial Hemp Farming Act of2017,https:/ / www.congress.gov/bill/115th-congress/house-bill/3530
115th Congress(2017-2018),H.R. 2920,CARERS Act of 2017,https:/ / www.congress.gov/ bil/115th-congress/house-bill/2920
115th Congress(2017-2018),S.1374,CARERS Act of 2017,https://www.congress.gov/bill/115th-congress/senate-bill/1374
115th Congress(2017-2018),S.1276,Cannabidiol Research ExpansionAct,https:/ /www.congress.gov/bil/115th-congress/senate-bill/1276
115th Congress(2017-2018),H.R. 2528,Respect States' and Citizens' Rights https://www.congress.gov/bill/11Act of 2017,Respect States' and Citizens' Rights https://www.congress.gov/bill/115th-congress/house-bill/2528
115th Congress(2017-2018),S.1008,Therapeutic Hemp Medical Access hAct of 2017,https:/ /www.congress.gov/bill/115th-congress/senate-bill/1008
115th Congress(2017-2018),H.R. 2273,Charlotte's Web Medical AccessAct of 2017,https://www.congress.gov/bill/115th-congress/house-bill/ 2273
115th Congress(2017-2018),H.R. 2020,To provide for the rescheduling ofmarijuana into schedule III of theControlled Substances Act.,https:// www.congress.gov/bill/115th-congress/house-bill/2020
115th Congress(2017-2018),H.R. 1841,Regulate Marijuana Like AlcoholAct,https:/ /www.congress.gov/bill/115th-congress/house-bill/1841
115th Congress(2017-2018),H.R. 1824,Responsibly Addressing theMarijuana Policy Gap Act of 2017,https://www.congress.gov/bill/115th-congress/house-bill/1824
115th Congress(2017-2018),S.780,Responsibly Addressing theMarijuana Policy Gap Act of 2017,https:/ / www.congress.gov/ bil/115th-congress/senate-bill/780
115th Congress(2017-2018),H.R. 1227,Ending Federal MarijuanaProhibition Act of 2017,https:// www.congress.gov/bil/115th-congress/house-bill/1227
115th Congress(2017-2018),H.R. 975,Respect State Marijuana Laws Acthof 2017,https:/ /www.congress.gov /bill/115th-congress/house-bill/975
115th Congress(2017-2018),H.R. 331,States' Medical Marijuana Property hRights Protection Act,https:/ / www.congress.gov/bill/115th-congress/house-bill/331
114th Congress(2015-2016),S.3269,Cannabidiol Research ExpansionAct,https:/ / www.congress.gov/ bil/114th-congress/senate-bill/3269
114th Congress(2015-2016),S.3077,MEDS Act,https:// www.congress.gov/bill/114th-congress/senate-bill/3077
114th Congress(2015-2016),H.R. 4779,CBD Oil Act of 2016,https:// www.congress.gov/bil/114th-congress/house-bill/4779
114th Congress(2015-2016),H.R. 4467,MAILS Act,https:/ / www.congress.gov/ bil/114th-congress /house-bill/467
114th Congress(2015-2016),S.2504,MAILS Act,https:// www.congress.gov/bil/114th-congress/senate-bill/2504
114th Congress(2015-2016),S. 2237,Ending Federal MarijuanaProhibition Act of 2015,https:/ /www.congress.gov/bill/114th-congress/senate-bill/237
114th Congress(2015-2016),H.R. 3746,State Marihuana And RegulatoryTolerance Enforcement Act,https:/ / www.congress.gov/bil/114th-congress/house-bill/3746
114th Congress(2015-2016),H.R. 3629,Respect States' and Citizens' Rights hAct of 2015,https:// www.congress.gov/bill/114th-congress/house-bill/3629
114th Congress(2015-2016),H.R. 3518,Stop Civil Asset Forfeiture Fundingfor Marijuana Suppression Act of2015,https:/ /www.congress.gov/bil/114th-congress/house-bill/3518
114th Congress(2015-2016),H.R. 3124,Clean Slate for Marijuana Offenses https://www.congress.gov/bill/11Act of 2015,Clean Slate for Marijuana Offenses https://www.congress.gov/bill/114th-congress/house-bill/3124
114th Congress(2015-2016),H.R. 1940,Respect State Marijuana Laws Actof 2015,https:/ / www.congress.gov/bil/114th-congress/house-bill/1940
114th Congress(2015-2016),H.R. 1538,CARERS Act of 2015,https:/ /www.congress.gov/bill/114th-congress/house-bill/1538
114th Congress(2015-2016),S. 683,"Compassionate Access, ResearchExpansion, and Respect States Actof 2015",https://www.congress.gov/bill/114th-congress/senate-bill/ 683
114th Congress(2015-2016),H.R. 1013,Regulate Marijuana Like AlcoholAct,https:/ /www.congress.gov/bil/114th-congress/house-bill/1013
114th Congress(2015-2016),H.R. 262,States' Medical Marijuana Property https:/ /www.congress.gov/bill/11Rights Protection Act,States' Medical Marijuana Property https:/ /www.congress.gov/bill/114th-congress/house-bill/262
113th Congress(2013-2014),H.R. 4046,Unmuzzle the Drug Czar Act of2014,https://www.congress.gov/bill/113th-congress/house-bill/4046
113th Congress(2013-2014),H.R. 3483,Protecting Individual Liberties and https://www.congress.gov/bill/11States' Rights Act,Protecting Individual Liberties and https://www.congress.gov/bill/113th-congress/house-bill/3483
113th Congress(2013-2014),H.R. 1635,National Commission on FederalMarijuana Policy Act of 2013,https://www.congress.gov/bill/113th-congress/house-bill/1635
113th Congress(2013-2014),H.R. 1523,Respect State Marijuana Laws Acthof 2013,https:/ /www.congress.gov /bill/113th-congress/house-bill/1523
113th Congress(2013-2014),H.R. 784,States' Medical Marijuana Property https:/ /www.congress.gov/bill/11Rights Protection Act,States' Medical Marijuana Property https:/ /www.congress.gov/bill/113th-congress/house-bill/784
113th Congress(2013-2014),H.R. 710,Truth in Trials Act,https:// www.congress.gov/bill/113th-congress/house-bill/710
113th Congress(2013-2014),H.R. 499,Ending Federal MarjuanaProhibition Act of 2013,https:/ /www.congress.gov/bill/113th-congress/house-bi1/499
112th Congress(2011-2012),H.R. 6335,States' Medical Marijuana Property https:/ /www.congress.gov/bill/11Rights Protection Act,States' Medical Marijuana Property https:/ /www.congress.gov/bill/112th-congress/house-bill/ 6335
112th Congress(2011-2012),H.R. 6134,Truth in Trials Act,https://www.congress.gov/bill/112th-congress/house-bill/6134
112th Congress(2011-2012),H.R. 2306,Ending Federal MarijuanaProhibition Act of 2011,https:/ / www.congress.gov/bill/112th-congress/house-bill/2306
