Congress,Legislation Number,Title,URL
117th Congress (2021-2022),H.R. 5657,Medical Marijuana Research Act,https://www.congress.gov/bill/117th-congress/house-bill/5657
117th Congress (2021-2022),H.R. 3617,MORE Act of 2021,https://www.congress.gov/bill/117th-congress/house-bill/3617
117th Congress (2021-2022),H.R. 2864,Clean Slate Act of 2021,https://www.congress.gov/bill/117th-congress/house-bill/2864
117th Congress (2021-2022),S. 1380,Clean Slate Act of 2021,https://www.congress.gov/bill/117th-congress/senate-bill/1380
117th Congress (2021-2022),H.R. 2830,GRAM Act,https://www.congress.gov/bill/117th-congress/house-bill/2830
117th Congress (2021-2022),H.R. 365,Marijuana 1-to-3 Act of 2021,https://www.congress.gov/bill/117th-congress/house-bill/365
116th Congress (2019-2020),H.R. 4323,Marijuana 1-to-3 Act of 2019,https://www.congress.gov/bill/116th-congress/house-bill/4323
116th Congress (2019-2020),H.R. 3884,MORE Act of 2020,https://www.congress.gov/bill/116th-congress/house-bill/3884
116th Congress (2019-2020),S. 2227,MORE Act of 2019,https://www.congress.gov/bill/116th-congress/senate-bill/2227
116th Congress (2019-2020),H.R. 3754,"To amend the Controlled Substances Act to provide for a new rule regarding the application of the Act to marihuana, and for other purposes.",https://www.congress.gov/bill/116th-congress/house-bill/3754
116th Congress (2019-2020),H.R. 3546,State Cannabis Commerce Act,https://www.congress.gov/bill/116th-congress/house-bill/3546
116th Congress (2019-2020),H.R. 3544,Homegrown Act of 2019.,https://www.congress.gov/bill/116th-congress/house-bill/3544
116th Congress (2019-2020),S. 2032,Cannabidiol and Marihuana Research Expansion Act,https://www.congress.gov/bill/116th-congress/senate-bill/2032
