"Year ended December 31 (in millions, except per customer data)",2021 Actual,2021 Constant Currency,2021 Constant Currency Change,2020 Actual,2020 Constant Currency,2020 Constant Currency Change
Revenue,Direct-to-consumer,"$ 16,455","$ 16,125",2.0 %,"$ 15,223","$ 15,698"
,Content,"1,341","1,448",(7.4),"1,373","1,443"
,Advertising,"2,489","2,101",18.4,"1,998","2,270"
Total revenue,,"20,285","19,675",3.1,"18,594","19,411"
Operating costs and expenses,Programming and production,"8,949","9,064",(1.3),"8,649","8,967"
,Direct network costs,"2,612","2,230",17.1,"2,086","1,759"
,Other,"6,364","6,239",2.0,"5,905","5,556"
Total operating costs and expenses,,"17,925","17,533",2.2,"16,640","16,282"
Adjusted EBITDA,,"$ 2,359","$ 2,142",10.2 %,"$ 1,954","$ 3,129"
Average monthly direct-to-consumer revenue per customer relationship,,$ 59.29,$ 57.79,2.6 %,$ 54.56,$ 56.67
