Year ended December 31 (in millions),2021,2020,2019,% Change 2020 to 2021,% Change 2019 to 2020
Revenue,Residential:,Broadband,"$ 22,979","$ 20,599","18,752,11.6 %,9.9 %"
Revenue,Residential:,Video,"22,079","21,937","22,270,0.6,(1.5)"
Revenue,Residential:,Voice,"3,417","3,532","3,879,(3.3),(8.9)"
Revenue,Residential:,Wireless,"2,380","1,574","1,167,51.2,34.9"
Revenue,Business services,"8,933","8,191","7,795","9.1,5.1"
Revenue,Advertising,"2,820","2,594","2,465","8.7,5.2"
Revenue,Other,"1,719","1,624","1,754","5.9,(7.5)"
Revenue,Total revenue,"64,328","60,051","58,082","7.1,3.4"
Operating costs and expenses,Programming,"14,285","13,498","13,389","5.8,0.8"
Operating costs and expenses,Technical and product support,"8,566","8,022","7,973","6.8,0.6"
Operating costs and expenses,Customer service,"2,347","2,432","2,494","(3.5),(2.5)"
Operating costs and expenses,"Advertising, marketing and promotion","3,938","3,759","4,014","4.8,(6.3)"
Operating costs and expenses,Franchise and other regulatory fees,"1,806","1,625","1,582","11.1,2.7"
Operating costs and expenses,Other,"5,290","5,445","5,364","(2.8),1.5"
Operating costs and expenses,Total operating costs and expenses,"36,231","34,781","34,816","4.2,(0.1)"
Adjusted EBITDA,"$ 28,097","$ 25,270","$ 23,266",11.2 %,8.6 %
