(in thousands),2021,,Net Additions /(Losses) 2021,Net Additions /(Losses) 2021,Net Additions /(Losses) 2021,Net Additions /(Losses) 2021
,2021,,2020,,,
Customer relationships,,,,,,
Residential customer relationships,"31,728","30,692","29,123","1,036","1,569","1,040"
Business services customer relationships,"2,489","2,426","2,396",63,30,94
Total customer relationships,"34,218","33,119","31,519","1,099","1,599","1,134"
Residential customer relationships mix,,,,,,
One product customers,"14,330","12,408","10,221","1,922","2,187","1,232"
Two product customers,"8,407","8,734","8,923",(328),(188),(69)
Three or more product customers,"8,992","9,550","9,979",(558),(429),(123)
Broadband,,,,,,
Residential customers,"29,583","28,326","26,388","1,257","1,937","1,317"
Business services customers,"2,318","2,248","2,215",70,34,89
Total broadband customers,"31,901","30,574","28,603","1,327","1,971","1,406"
Video,,,,,,
Residential customers,"17,495","18,993","20,288","(1,498)","(1,295)",(671)
Business services customers,681,852,966,(171),(114),(61)
Total video customers,"18,176","19,846","21,254","(1,669)","(1,408)",(733)
Voice,,,,,,
Residential customers,"9,062","9,645","9,934",(583),(289),(218)
Business services customers,"1,391","1,357","1,342",34,15,46
Total voice customers,"10,454","11,002","11,276",(548),(275),(173)
Wireless,,,,,,
Wireless lines,"3,980","2,826","2,052","1,154",774,816
