(in millions),Revenue(a),Adjusted EBITDA(b),Depreciation and Amortization,Capital Expenditures,Cash Paid for Intangible Assets
2021,Cable Communications,"$ 64,328","$ 28,097","$ 7,811","$ 6,930,$ 1,438"
2021,NBCUniversal Media,"$ 22,780","$ 4,569","$ 1,030","$ 100,$ 163"
2021,NBCUniversal Studios,"$ 9,449",$ 884,$ 53,"$ 5,$ 11"
2021,NBCUniversal Theme Parks,"$ 5,051","$ 1,267",$ 906,"$ 614,$ 43"
2021,NBCUniversal Headquarters and Other,$ 87,$(840),$ 478,"$ 366,$ 143"
2021,NBCUniversal Eliminations(a),"$(3,048)",$(205),,","
2021,NBCUniversal,"$ 34,319","$ 5,675","$ 2,466","$ 1,086,$ 360"
2021,Sky,"$ 20,285","$ 2,359","$ 3,379","$ 948,$ 814"
2021,Corporate and Other,$ 461,"$(1,358)",$ 147,"$ 210,$ 272"
2021,Eliminations(a),"$(3,008)",$(65),,","
2021,Comcast Consolidated,"$ 116,385","$ 34,708","$ 13,804","$ 9,174,$ 2,883"
